rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
17	CBWD1	COBW domain containing 1	1296	29	0	2	2	0	20	0	22	21	3	2.456299e-09	1.000000e-05	1.000000e-05	7.942536e-13	8.542431e-10
18	ZBTB20	zinc finger and BTB domain containing 20	2238	0	0	11	16	0	0	30	46	37	18	3.174253e-09	1.000000e-05	9.079800e-01	1.018297e-12	9.948802e-10
19	ARID4A	AT rich interactive domain 4A (RBP1-like)	3866	2	0	1	6	2	0	15	23	22	15	3.224006e-09	1.000000e-05	2.384500e-01	1.033840e-12	9.948802e-10
20	MLL2	myeloid/lymphoid or mixed-lineage leukemia 2	16826	13	0	18	48	6	1	42	97	67	83	1.731455e-08	1.000000e-05	9.905500e-01	5.261014e-12	4.521119e-09
21	FBXW7	F-box and WD repeat domain containing 7	2580	2	1	1	21	5	2	4	32	31	20	5.707047e-11	5.100000e-03	1.650000e-02	5.371814e-12	4.521119e-09
22	MBD6	methyl-CpG binding domain protein 6	3056	0	0	2	8	1	0	21	30	24	21	1.792426e-08	1.000000e-05	9.111900e-01	5.439982e-12	4.521119e-09
23	MUC6	mucin 6, oligomeric mucus/gel-forming	7450	2	0	12	30	0	0	28	58	46	54	7.383277e-11	1.300000e-01	1.500000e-02	3.767231e-11	2.994785e-08
24	DDX17	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17	2245	2	2	1	2	0	0	13	15	15	5	4.336285e-07	1.000000e-05	9.976800e-01	1.177909e-10	8.973702e-08
25	HOXD8	homeobox D8	877	2	0	1	2	0	0	14	16	13	6	4.919226e-07	1.000000e-05	9.990200e-01	1.330054e-10	9.727482e-08
26	ZBTB7C	zinc finger and BTB domain containing 7C	1866	1	0	7	4	0	0	15	19	17	9	6.466909e-07	1.000000e-05	3.750000e-03	1.730824e-10	1.217169e-07
27	KLF3	Kruppel-like factor 3 (basic)	1058	35	0	2	8	0	2	11	21	19	15	1.396214e-09	6.100000e-03	8.942000e-01	5.462156e-10	3.698891e-07
28	TENC1	tensin like C1 domain containing phosphatase (tensin 2)	4449	1	0	4	9	0	4	12	25	20	20	2.470285e-06	1.000000e-05	5.685800e-01	6.280477e-10	4.101152e-07
29	MTG1	mitochondrial GTPase 1 homolog (S. cerevisiae)	1111	0	0	0	2	0	0	7	9	9	4	3.500640e-06	1.000000e-05	9.988600e-01	8.778027e-10	5.534395e-07
30	LARP7	La ribonucleoprotein domain family, member 7	1797	5	0	1	3	0	1	14	18	18	9	6.809068e-06	1.000000e-05	1.639000e-02	1.662106e-09	1.012998e-06
31	MVK	mevalonate kinase	1398	8	0	1	5	0	0	10	15	15	6	7.993131e-06	1.000000e-05	1.500000e-04	1.938323e-09	1.108286e-06
32	KIAA0406	KIAA0406	3447	5	0	3	12	0	1	10	23	23	15	7.998977e-06	1.000000e-05	5.959200e-01	1.939682e-09	1.108286e-06
33	FRMD4A	FERM domain containing 4A	3216	1	0	2	6	0	1	15	22	21	10	8.361282e-06	1.000000e-05	1.030000e-03	2.023834e-09	1.121327e-06
34	MCM8	minichromosome maintenance complex component 8	2725	27	0	4	26	1	0	0	27	25	12	1.199962e-05	1.000000e-05	3.855000e-02	2.861137e-09	1.538618e-06
35	APC	adenomatous polyposis coli	8592	2	0	9	24	17	2	15	58	48	51	1.622638e-08	3.300000e-03	9.741000e-01	3.011033e-09	1.572964e-06
36	TRIP4	thyroid hormone receptor interactor 4	1796	3	0	1	4	0	1	8	13	12	8	1.341429e-05	1.000000e-05	8.128000e-01	3.183495e-09	1.616862e-06
37	CTNND1	catenin (cadherin-associated protein), delta 1	2983	5	0	1	9	5	2	10	26	24	24	1.963762e-09	1.760000e-01	1.260000e-01	3.880646e-09	1.877936e-06
38	FAM9A	family with sequence similarity 9, member A	1035	0	0	1	3	0	1	10	14	12	7	1.659464e-05	8.000000e-05	5.226000e-02	3.902951e-09	1.877936e-06
39	SLC27A3	solute carrier family 27 (fatty acid transporter), member 3	2431	0	0	0	1	0	0	8	9	9	4	1.746623e-05	1.000000e-05	8.740500e-01	4.099003e-09	1.921697e-06
40	PAX6	paired box 6	1355	4	0	3	8	1	2	10	21	20	12	1.897333e-05	7.000000e-05	2.380000e-03	4.436989e-09	2.028148e-06
41	KRT75	keratin 75	1690	11	0	3	37	0	0	2	39	37	10	2.420958e-05	1.000000e-05	1.499400e-01	5.602505e-09	2.498444e-06
42	P4HTM	prolyl 4-hydroxylase, transmembrane (endoplasmic reticulum)	1724	17	1	1	25	0	0	0	25	24	8	2.600801e-05	1.000000e-05	1	6.000056e-09	2.612025e-06
43	DSTN	destrin (actin depolymerizing factor)	510	10	0	1	1	1	0	6	8	7	4	3.600204e-05	2.100000e-04	1.002000e-02	8.188613e-09	3.428154e-06
44	CIC	capicua homolog (Drosophila)	4905	0	0	4	33	2	0	17	52	47	27	3.628333e-05	1.000000e-05	1	8.249769e-09	3.428154e-06
45	OSBP2	oxysterol binding protein 2	2803	0	0	0	6	1	2	6	15	15	12	5.858870e-07	2.133333e-03	1.238000e-01	8.852112e-09	3.596711e-06
46	CEP57	centrosomal protein 57kDa	1709	4	0	0	6	0	0	7	13	13	8	4.579971e-05	1.000000e-05	2.217700e-01	1.030684e-08	4.096744e-06
47	PRRG1	proline rich Gla (G-carboxyglutamic acid) 1	749	14	0	0	0	0	0	10	10	10	2	4.703954e-05	1.000000e-05	1	1.057329e-08	4.113234e-06
48	BCOR	BCL6 co-repressor	5324	0	0	6	10	10	2	12	34	28	32	2.276399e-09	4.720000e-01	1.100000e-01	1.161517e-08	4.424410e-06
49	KIAA1967	KIAA1967	3053	0	0	0	13	0	1	13	27	22	20	6.401769e-06	2.000000e-05	5.539800e-01	1.554437e-08	5.800270e-06
50	KIAA1267	KIAA1267	3372	1	0	3	8	5	0	9	22	19	16	7.681081e-05	3.000000e-05	3.584000e-02	1.688846e-08	6.175773e-06
51	ZNF48	zinc finger protein 48	1863	11	0	3	4	1	0	11	16	13	9	8.146171e-05	1.000000e-05	2.415000e-01	1.786317e-08	6.404122e-06
52	WASF3	WAS protein family, member 3	1541	29	0	3	7	1	1	13	22	19	13	8.540658e-05	1.000000e-05	1.336900e-01	1.868783e-08	6.570927e-06
53	NLK	nemo-like kinase	1624	7	0	1	5	1	0	9	15	14	8	9.325056e-05	1.000000e-05	9.960800e-01	2.032223e-08	6.975654e-06
54	CYP27B1	cytochrome P450, family 27, subfamily B, polypeptide 1	1910	1	0	0	3	1	0	5	9	9	6	9.459607e-05	7.000000e-05	3.880000e-03	2.060191e-08	6.975654e-06
55	C14orf43	chromosome 14 open reading frame 43	3178	25	0	4	13	1	0	18	32	26	21	1.611206e-04	1.000000e-05	9.904400e-01	3.423215e-08	1.138001e-05
56	PRSS36	protease, serine, 36	2626	7	0	3	5	0	0	11	16	16	7	1.746587e-04	1.000000e-05	9.971800e-01	3.696757e-08	1.206991e-05
57	FZD3	frizzled homolog 3 (Drosophila)	2021	1	0	4	3	1	0	8	12	11	7	2.225585e-04	1.000000e-05	8.798500e-01	4.656647e-08	1.493722e-05
58	NFASC	neurofascin homolog (chicken)	4246	5	0	1	23	1	0	11	35	31	24	2.705637e-04	1.000000e-05	5.014100e-01	5.608225e-08	1.767945e-05
59	GRK4	G protein-coupled receptor kinase 4	1940	1	0	4	1	0	1	10	12	11	8	2.832368e-04	1.000000e-05	9.389300e-01	5.857947e-08	1.815368e-05
60	ATXN2L	ataxin 2-like	3548	1	1	3	14	0	0	13	27	22	21	3.404693e-04	3.000000e-05	1.069000e-02	6.978977e-08	2.126727e-05
61	GLI1	glioma-associated oncogene homolog 1 (zinc finger protein)	3365	4	0	2	11	0	1	11	23	20	15	3.627428e-04	1.000000e-05	3.800000e-03	7.412555e-08	2.221822e-05
62	INPPL1	inositol polyphosphate phosphatase-like 1	3885	2	0	2	14	0	2	12	28	24	19	3.773369e-04	1.000000e-05	8.616300e-01	7.695898e-08	2.269545e-05
63	SOX7	SRY (sex determining region Y)-box 7	1173	2	0	4	12	0	0	8	20	19	15	1.193186e-05	2.142857e-04	9.784286e-01	7.980918e-08	2.316240e-05
64	FHOD3	formin homology 2 domain containing 3	4418	2	0	2	18	1	1	15	35	30	22	4.414865e-04	1.000000e-05	6.000000e-04	8.934931e-08	2.552598e-05
65	RNF128	ring finger protein 128	1719	5	0	2	4	0	1	11	16	14	8	4.534147e-04	1.000000e-05	1	9.164250e-08	2.577833e-05
66	HLA-A	major histocompatibility complex, class I, A	1128	7	0	0	8	2	0	13	23	19	17	1.639069e-06	2.500000e-03	9.673000e-01	9.584755e-08	2.655268e-05
67	MFRP	membrane frizzled-related protein	2169	0	1	5	3	0	0	14	17	14	8	6.750355e-04	1.000000e-05	9.993600e-01	1.337493e-07	3.649959e-05
68	EIF5B	eukaryotic translation initiation factor 5B	3755	8	0	6	11	0	1	18	30	25	23	8.424882e-04	1.000000e-05	5.254100e-01	1.650609e-07	4.438197e-05
69	C9orf131	chromosome 9 open reading frame 131	3262	1	0	1	8	0	0	13	21	19	11	8.800653e-04	1.000000e-05	1	1.720390e-07	4.558785e-05
70	BCORL1	BCL6 co-repressor-like 1	5410	4	0	8	11	1	0	17	29	26	20	9.570641e-04	1.000000e-05	9.926000e-01	1.862884e-07	4.865852e-05
71	PAFAH1B1	platelet-activating factor acetylhydrolase, isoform Ib, alpha subunit 45kDa	1269	2	0	0	6	1	1	7	15	15	10	2.008784e-06	3.000000e-03	9.049000e-01	2.208177e-07	5.686522e-05
72	EPB49	erythrocyte membrane protein band 4.9 (dematin)	1281	3	0	1	4	0	1	10	15	13	10	1.179588e-04	1.200000e-04	3.527600e-01	2.271357e-07	5.767986e-05
73	DDC	dopa decarboxylase (aromatic L-amino acid decarboxylase)	1499	2	0	0	4	0	1	8	13	10	7	1.249318e-03	1.000000e-05	1.800000e-04	2.398451e-07	6.007299e-05
74	IWS1	IWS1 homolog (S. cerevisiae)	2512	1	0	1	6	0	2	9	17	14	12	1.424152e-03	1.000000e-05	9.270000e-03	2.715446e-07	6.709354e-05
75	LMAN1	lectin, mannose-binding, 1	1583	21	0	2	1	2	0	10	13	13	6	1.470209e-03	1.000000e-05	1.978000e-02	2.798583e-07	6.822572e-05
76	FAM116A	family with sequence similarity 116, member A	1905	0	0	0	4	1	0	7	12	9	9	1.621782e-03	5.100000e-04	5.280000e-03	3.071193e-07	7.339881e-05
77	KIAA0664	KIAA0664	4030	0	0	1	18	1	0	11	30	23	24	5.442879e-05	2.616667e-03	1.423333e-02	3.091068e-07	7.339881e-05
78	JARID2	jumonji, AT rich interactive domain 2	3809	5	0	10	23	0	0	21	44	36	33	1.857905e-03	1.000000e-05	9.998500e-01	3.493090e-07	8.188161e-05
79	SLC9A10	solute carrier family 9, member 10	3646	0	0	2	6	0	0	11	17	13	11	1.977581e-03	1.000000e-05	9.999500e-01	3.705751e-07	8.470344e-05
80	ZFP36L2	zinc finger protein 36, C3H type-like 2	1489	24	0	1	4	0	0	10	14	14	12	2.535629e-07	3.700000e-02	5.040000e-01	3.706123e-07	8.470344e-05
81	CTCF	CCCTC-binding factor (zinc finger protein)	2224	4	0	2	6	1	1	8	16	16	13	2.134629e-05	7.500000e-04	1.703500e-01	4.171978e-07	9.417339e-05
82	HDAC4	histone deacetylase 4	3355	5	0	3	17	1	1	11	30	26	24	5.101731e-06	3.300000e-03	6.994000e-01	4.447015e-07	9.915758e-05
83	NAPEPLD	N-acyl phosphatidylethanolamine phospholipase D	1202	40	0	1	3	1	0	6	10	10	4	2.539272e-03	1.000000e-05	9.979000e-02	4.694810e-07	1.034216e-04
84	RASA1	RAS p21 protein activator (GTPase activating protein) 1	3250	6	0	1	9	4	0	7	20	19	17	1.998505e-05	9.000000e-04	5.190000e-01	4.797549e-07	1.044266e-04
85	RHOQ	ras homolog gene family, member Q	743	4	0	0	0	0	0	5	5	5	1	2.729861e-03	1.000000e-05	9.994300e-01	5.027430e-07	1.081430e-04
86	NT5M	5',3'-nucleotidase, mitochondrial	703	2	0	3	0	0	0	6	6	6	3	2.845816e-03	6.000000e-05	2.211600e-01	5.229139e-07	1.111739e-04
87	CELSR1	cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)	9181	9	0	12	26	0	2	16	44	37	34	3.080926e-03	1.000000e-05	9.990800e-01	5.636692e-07	1.184612e-04
88	YIPF2	Yip1 domain family, member 2	1257	6	0	2	1	1	1	4	7	7	6	7.323451e-05	1.298500e-01	1.800000e-04	5.754501e-07	1.195628e-04
89	CR1	complement component (3b/4b) receptor 1 (Knops blood group)	7654	2	0	0	22	4	3	4	33	30	27	3.211734e-03	1.200000e-04	5.380000e-03	5.862657e-07	1.204414e-04
90	C19orf40	chromosome 19 open reading frame 40	683	28	0	1	1	1	0	5	7	7	4	3.440662e-03	1.000000e-05	2.373800e-01	6.256849e-07	1.271114e-04
91	WNT1	wingless-type MMTV integration site family, member 1	1125	70	0	0	4	0	0	6	10	10	6	3.557286e-03	3.780000e-03	8.100000e-04	6.457074e-07	1.297375e-04
92	IRF2	interferon regulatory factor 2	1082	14	0	1	13	1	1	8	23	19	20	2.635717e-06	6.600000e-02	1.600000e-02	9.802267e-07	1.948094e-04
93	CR2	complement component (3d/Epstein Barr virus) receptor 2	3355	42	1	3	13	0	0	12	25	23	18	5.424493e-04	2.000000e-05	9.999700e-01	1.052237e-06	2.047141e-04
94	LEMD1	LEM domain containing 1	339	13	0	1	2	0	1	2	5	4	3	5.968263e-03	1.500000e-03	7.000000e-04	1.052457e-06	2.047141e-04
95	INF2	inverted formin, FH2 and WH2 domain containing	3870	17	0	4	7	0	0	13	20	19	12	6.115144e-03	1.000000e-05	9.998700e-01	1.076871e-06	2.072581e-04
96	CR1L	complement component (3b/4b) receptor 1-like	1756	39	0	3	12	0	2	5	19	16	16	1.256605e-04	3.750000e-04	7.575250e-01	1.311933e-06	2.498687e-04
97	NPHP1	nephronophthisis 1 (juvenile)	2280	5	0	1	4	1	0	5	10	10	5	8.003624e-03	1.000000e-05	9.976200e-01	1.387891e-06	2.616104e-04
98	ADAMDEC1	ADAM-like, decysin 1	1465	0	0	0	2	1	1	8	12	12	6	5.586051e-04	7.000000e-05	9.686500e-01	1.449156e-06	2.655999e-04
99	GXYLT1	glucoside xylosyltransferase 1	1351	24	0	2	3	1	0	10	14	14	10	1.048993e-03	5.000000e-05	8.358500e-01	1.451253e-06	2.655999e-04
100	ENTPD2	ectonucleoside triphosphate diphosphohydrolase 2	1522	3	0	3	1	0	0	5	6	6	3	8.400428e-03	7.900000e-04	4.910000e-03	1.452636e-06	2.655999e-04
101	EIF4G3	eukaryotic translation initiation factor 4 gamma, 3	4878	13	0	2	12	1	0	10	23	20	18	8.602105e-03	1.000000e-05	9.817300e-01	1.485469e-06	2.680060e-04
102	PIGT	phosphatidylinositol glycan anchor biosynthesis, class T	1783	5	0	1	3	0	0	8	11	11	6	7.873983e-04	3.000000e-05	9.872900e-01	1.495111e-06	2.680060e-04
103	POLM	polymerase (DNA directed), mu	1527	14	0	2	5	0	0	9	14	13	8	1.570068e-04	2.285714e-04	4.553571e-01	1.545538e-06	2.743555e-04
104	CCDC108	coiled-coil domain containing 108	6058	0	0	8	18	2	1	10	31	26	25	9.283898e-03	1.000000e-05	1.008500e-01	1.596125e-06	2.801340e-04
105	KIAA0195	KIAA0195	4191	1	0	3	10	2	0	15	27	20	19	9.508097e-03	1.000000e-05	9.993200e-01	1.632401e-06	2.801340e-04
106	CDH16	cadherin 16, KSP-cadherin	2558	13	0	5	9	3	0	6	18	16	13	1.004848e-04	3.750000e-04	8.243500e-01	1.638538e-06	2.801340e-04
107	ARHGAP5	Rho GTPase activating protein 5	4529	2	0	5	12	2	0	15	29	22	23	6.822313e-04	1.000000e-05	4.176600e-01	1.639376e-06	2.801340e-04
108	STK38	serine/threonine kinase 38	1450	0	0	1	1	0	0	5	6	6	4	9.797200e-04	1.700000e-04	3.682800e-01	1.679101e-06	2.842656e-04
109	CST1	cystatin SN	436	0	0	0	1	0	0	6	7	7	3	1.885182e-04	4.750000e-04	9.999750e-01	1.846826e-06	2.993629e-04
110	PTCHD3	patched domain containing 3	2316	0	0	12	12	1	0	10	23	19	15	1.091655e-02	1.000000e-05	9.947300e-01	1.859133e-06	2.993629e-04
111	TBX4	T-box 4	1668	4	0	4	5	0	0	10	15	14	7	1.091692e-02	1.000000e-05	1.243000e-02	1.859192e-06	2.993629e-04
112	ZMYM4	zinc finger, MYM-type 4	4765	4	0	0	11	0	0	10	21	19	18	1.225128e-03	2.000000e-05	9.398400e-01	1.876696e-06	2.993629e-04
113	SPTY2D1	SPT2, Suppressor of Ty, domain containing 1 (S. cerevisiae)	2078	34	0	3	8	3	0	9	20	19	15	3.578333e-04	1.100000e-04	4.363900e-01	1.887377e-06	2.993629e-04
114	SLC12A9	solute carrier family 12 (potassium/chloride transporters), member 9	2797	4	0	2	13	0	3	6	22	20	18	2.922014e-05	1.600000e-03	3.516000e-01	1.889110e-06	2.993629e-04
115	ALPK2	alpha-kinase 2	6561	1	0	3	15	0	0	12	27	24	19	1.110602e-02	1.000000e-05	5.244000e-02	1.889489e-06	2.993629e-04
116	CABP5	calcium binding protein 5	542	0	0	2	1	0	0	5	6	6	3	1.401408e-03	6.000000e-05	9.728200e-01	1.906337e-06	2.993629e-04
117	MED15	mediator complex subunit 15	2437	0	0	4	8	1	1	9	19	18	14	3.900937e-04	1.666667e-04	6.893000e-01	1.915635e-06	2.993629e-04
118	GYLTL1B	glycosyltransferase-like 1B	2218	5	0	2	10	0	0	8	18	17	11	1.105142e-04	3.000000e-04	9.999600e-01	1.951466e-06	3.023781e-04
119	IL2RG	interleukin 2 receptor, gamma (severe combined immunodeficiency)	1140	9	0	0	2	1	0	7	10	10	7	1.669951e-04	2.142857e-04	4.804286e-01	1.982797e-06	3.029121e-04
120	CCDC88A	coiled-coil domain containing 88A	5744	0	0	1	12	2	0	16	30	22	24	1.172255e-02	1.000000e-05	7.919800e-01	1.988047e-06	3.029121e-04
121	PIGB	phosphatidylinositol glycan anchor biosynthesis, class B	1711	1	0	0	3	0	0	7	10	10	7	6.276242e-04	2.111111e-04	3.060667e-01	2.009197e-06	3.036046e-04
122	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	3287	2	0	2	77	1	2	0	80	65	35	1.206692e-02	1.000000e-05	1.060000e-02	2.042955e-06	3.061753e-04
123	PPIG	peptidylprolyl isomerase G (cyclophilin G)	2313	0	0	0	10	1	0	7	18	18	14	4.384834e-04	1.000000e-04	9.978200e-01	2.076488e-06	3.086708e-04
124	ATP6V1B1	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B1 (Renal tubular acidosis with deafness)	1897	11	0	2	9	1	0	15	25	21	13	1.344962e-02	1.000000e-05	9.998400e-01	2.262459e-06	3.336032e-04
125	PLEKHA6	pleckstrin homology domain containing, family A member 6	3231	33	0	5	7	1	1	20	29	23	18	5.740229e-04	5.000000e-05	9.558800e-01	2.314145e-06	3.384946e-04
126	PLA2G1B	phospholipase A2, group IB (pancreas)	463	236	0	0	6	0	0	0	6	6	1	1.428957e-02	1.000000e-05	8.740900e-01	2.395097e-06	3.475552e-04
127	RTKN2	rhotekin 2	1876	44	0	2	1	0	0	10	11	11	4	1.469211e-02	1.000000e-05	8.430000e-02	2.458486e-06	3.539445e-04
128	PAX2	paired box 2	1445	2	0	1	4	0	0	8	12	12	6	2.571243e-03	1.000000e-05	3.219000e-02	2.573999e-06	3.661303e-04
129	SERPINI1	serpin peptidase inhibitor, clade I (neuroserpin), member 1	1265	19	0	1	2	0	1	7	10	9	4	1.559279e-02	1.000000e-05	9.150300e-01	2.599921e-06	3.661303e-04
130	TMEM41A	transmembrane protein 41A	813	44	0	1	2	0	1	7	10	9	5	1.951714e-03	3.000000e-05	8.486000e-02	2.603201e-06	3.661303e-04
131	ADAM30	ADAM metallopeptidase domain 30	2373	13	0	3	4	3	0	9	16	16	12	1.883083e-03	3.000000e-05	9.849300e-01	2.811724e-06	3.924394e-04
132	B3GNT5	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5	1137	14	0	1	1	1	0	9	11	11	8	3.324533e-04	3.200000e-04	9.945600e-01	2.864670e-06	3.968002e-04
133	PAPD4	PAP associated domain containing 4	1511	3	0	0	4	0	1	7	12	11	8	1.717957e-04	5.000000e-04	9.237667e-01	2.936958e-06	4.037545e-04
134	DTX3	deltex 3 homolog (Drosophila)	1061	55	0	1	1	0	0	6	7	7	3	2.079423e-02	1.000000e-05	7.062400e-01	3.407344e-06	4.649244e-04
135	BTBD11	BTB (POZ) domain containing 11	3484	15	0	3	19	0	0	7	26	26	18	2.178117e-02	4.000000e-05	8.129000e-02	3.558964e-06	4.820156e-04
136	ART1	ADP-ribosyltransferase 1	1000	3	0	1	3	0	0	5	8	8	4	7.188678e-04	4.000000e-04	3.946000e-01	3.683344e-06	4.951931e-04
137	BRD8	bromodomain containing 8	4415	9	2	1	30	1	2	0	33	32	12	2.448746e-02	1.000000e-05	9.999400e-01	3.972483e-06	5.301670e-04
138	FOXN3	forkhead box N3	1497	6	0	2	5	0	0	9	14	13	8	2.348485e-03	1.000000e-05	9.081500e-01	4.176996e-06	5.534216e-04
139	SPG20	spastic paraplegia 20 (Troyer syndrome)	2033	28	0	3	14	0	0	8	22	22	17	2.611573e-02	1.230000e-03	7.100000e-04	4.219817e-06	5.550729e-04
140	WNK4	WNK lysine deficient protein kinase 4	3809	14	0	5	16	0	1	14	31	24	24	6.274531e-04	1.400000e-04	9.711600e-01	4.445589e-06	5.788537e-04
141	CBLL1	Cas-Br-M (murine) ecotropic retroviral transforming sequence-like 1	1496	7	0	1	3	0	0	6	9	8	5	2.792178e-02	1.000000e-05	1.630000e-03	4.492970e-06	5.788537e-04
142	TTF1	transcription termination factor, RNA polymerase I	2758	7	0	4	9	0	0	7	16	16	12	2.793909e-02	1.000000e-05	6.324700e-01	4.495583e-06	5.788537e-04
143	SCLT1	sodium channel and clathrin linker 1	2147	26	0	2	6	1	0	13	20	17	13	2.919949e-02	1.000000e-05	9.189400e-01	4.685505e-06	5.990894e-04
144	PALB2	partner and localizer of BRCA2	3726	6	0	5	2	2	0	7	11	11	7	3.033902e-02	1.000000e-05	4.691000e-01	4.856745e-06	6.166718e-04
145	ABCC4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	4145	10	0	2	12	0	2	6	20	19	15	1.216202e-03	1.666667e-04	6.489778e-01	4.967971e-06	6.246790e-04
146	EAF2	ELL associated factor 2	805	0	0	5	1	0	0	8	9	9	5	3.121534e-02	1.000000e-05	9.425800e-01	4.988139e-06	6.246790e-04
147	FAAH	fatty acid amide hydrolase	1798	5	0	2	1	0	0	4	5	5	3	3.269721e-02	1.500000e-04	4.380000e-03	5.209774e-06	6.479966e-04
148	BTBD7	BTB (POZ) domain containing 7	3508	8	1	4	12	0	0	10	22	20	18	3.350570e-02	1.000000e-05	7.148300e-01	5.330409e-06	6.585217e-04
149	MAGEE2	melanoma antigen family E, 2	1572	5	0	1	3	1	0	7	11	11	5	3.476520e-02	1.000000e-05	9.492800e-01	5.517954e-06	6.771160e-04
150	DOCK5	dedicator of cytokinesis 5	5817	4	0	2	22	0	2	7	31	25	23	3.966690e-02	1.000000e-05	7.823200e-01	6.243635e-06	7.610575e-04
151	ZFHX4	zinc finger homeobox 4	10891	1	0	28	60	6	1	21	88	68	77	3.160082e-03	1.000000e-05	7.559300e-01	6.451836e-06	7.812276e-04
152	FHDC1	FH2 domain containing 1	3474	1	0	7	10	0	0	8	18	17	14	4.271800e-02	1.000000e-04	7.920000e-03	6.692227e-06	8.018272e-04
153	RB1CC1	RB1-inducible coiled-coil 1	4873	0	0	4	8	0	0	8	16	15	13	4.283693e-02	1.000000e-05	8.335000e-01	6.709668e-06	8.018272e-04
154	PRRG3	proline rich Gla (G-carboxyglutamic acid) 3 (transmembrane)	708	2	0	2	2	1	0	6	9	8	7	5.723990e-05	1.280000e-02	2.831000e-01	6.807185e-06	8.081985e-04
155	KIAA1462	KIAA1462	4092	1	0	3	19	2	0	5	26	24	23	1.168815e-03	2.000000e-04	9.289500e-01	6.855253e-06	8.086545e-04
156	KCNJ10	potassium inwardly-rectifying channel, subfamily J, member 10	1142	2	0	3	9	1	0	5	15	14	11	2.353492e-04	4.300000e-03	6.840000e-02	6.984847e-06	8.168273e-04
157	GANAB	glucosidase, alpha; neutral AB	5605	0	0	1	10	1	3	4	18	18	12	5.614375e-03	2.000000e-05	7.112300e-01	7.013886e-06	8.168273e-04
158	GPSM3	G-protein signaling modulator 3 (AGS3-like, C. elegans)	1727	62	0	0	6	0	0	7	13	12	11	1.277743e-05	2.700000e-02	7.710000e-01	7.172156e-06	8.265537e-04
