rank	gene	description	N	n	npat	nsite	nsil	n1	n2	n3	n4	n5	n6	p_classic	p_ns_s	p_clust	p_cons	p_joint	p	q
34	WSCD2	WSC domain containing 2	1546082	14	13	14	2	6	3	4	0	1	0	1.53e-05	0.131	0.705	0.141	0.320	6.47e-05	0.0323
35	ZP4	zona pellucida glycoprotein 4	1628063	13	13	13	1	0	5	3	1	4	0	1.04e-05	0.110	0.773	0.234	0.555	7.51e-05	0.0364
36	ASXL2	additional sex combs like 2 (Drosophila)	4211632	16	16	16	3	1	6	3	1	4	1	0.101	0.438	9.58e-05	0.0856	8.26e-05	0.000106	0.0498
37	HIST1H2BC	histone cluster 1, H2bc	376079	6	6	6	1	0	3	1	1	1	0	3.84e-05	0.431	0.415	0.114	0.245	0.000118	0.0543
38	FAM20C	family with sequence similarity 20, member C	208774	4	4	4	1	0	2	0	0	2	0	0.000131	0.735	NaN	NaN	NaN	0.000131	0.0583
39	PIWIL1	piwi-like 1 (Drosophila)	2594629	17	17	17	2	4	5	3	1	4	0	6.51e-05	0.214	0.134	0.368	0.165	0.000134	0.0583
40	HLA-DRB5	major histocompatibility complex, class II, DR beta 5	354057	5	6	5	1	3	0	0	2	0	0	0.000199	0.606	0.0617	0.256	0.0822	0.000196	0.0833
41	GPRIN2	G protein regulated inducer of neurite outgrowth 2	1045957	11	11	7	2	1	1	5	2	2	0	5.67e-05	0.421	0.210	0.468	0.310	0.000210	0.0870
42	RAB42	RAB42, member RAS oncogene family	251338	4	4	2	0	1	0	0	0	3	0	0.000245	0.667	0.0981	0.0635	0.0796	0.000231	0.0932
43	PRRX1	paired related homeobox 1	729018	7	7	6	0	4	2	0	0	1	0	0.000654	0.0942	0.425	0.00780	0.0336	0.000258	0.102
44	GALNTL6	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 6	1804915	4	4	2	2	0	0	0	0	4	0	0.298	0.989	7.12e-05	0.120	9.06e-05	0.000311	0.120
45	FGFR2	fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)	2718227	11	11	8	1	0	4	2	5	0	0	0.0142	0.234	0.00113	0.942	0.00205	0.000333	0.126
46	ARID1A	AT rich interactive domain 1A (SWI-like)	5500369	27	27	25	3	1	2	4	3	16	1	3.33e-05	0.193	0.759	0.610	1.000	0.000376	0.139
47	MTM1	myotubularin 1	1821066	12	11	12	1	0	1	6	2	2	1	5.82e-05	0.316	0.500	0.644	0.641	0.000418	0.151
48	ZNF69	zinc finger protein 69	456872	5	5	5	0	1	2	2	0	0	0	0.000430	0.232	NaN	NaN	NaN	0.000430	0.152
49	TRPM5	transient receptor potential cation channel, subfamily M, member 5	2103104	10	11	10	0	3	2	1	0	4	0	0.00493	0.0439	0.00305	0.709	0.00889	0.000484	0.168
50	KCNJ15	potassium inwardly-rectifying channel, subfamily J, member 15	1095604	8	6	8	1	1	3	4	0	0	0	0.0115	0.198	0.00198	0.556	0.00501	0.000618	0.210
51	ACTG1	actin, gamma 1	1027828	8	8	8	0	1	0	1	3	3	0	0.000148	0.351	0.579	0.160	0.403	0.000639	0.213
52	TBX22	T-box 22	1551248	7	7	7	1	2	3	0	1	1	0	0.0129	0.458	0.00360	0.0915	0.00481	0.000661	0.216
53	SLC35B2	solute carrier family 35, member B2	1259102	9	8	9	0	2	1	2	2	2	0	0.000479	0.0941	0.190	0.126	0.132	0.000675	0.216
54	CTNNA2	catenin (cadherin-associated protein), alpha 2	2495740	14	14	13	1	5	3	0	4	2	0	0.000223	0.107	0.347	0.206	0.337	0.000788	0.248
55	EIF4A2	eukaryotic translation initiation factor 4A, isoform 2	1237075	10	9	9	0	0	5	2	1	2	0	0.000311	0.160	0.464	0.0632	0.254	0.000825	0.255
56	CXCR3	chemokine (C-X-C motif) receptor 3	1009584	6	6	6	1	3	1	1	1	0	0	0.00344	0.354	0.342	0.00614	0.0258	0.000917	0.278
57	PCDH19	protocadherin 19	3030948	22	19	19	3	7	4	7	1	3	0	0.000230	0.0838	0.369	0.922	0.465	0.00108	0.323
58	AARS	alanyl-tRNA synthetase	2859476	8	8	8	2	2	3	0	2	1	0	0.314	0.533	0.000185	0.363	0.000380	0.00120	0.351
59	PSIP1	PC4 and SFRS1 interacting protein 1	1638867	8	8	8	1	0	2	1	0	5	0	0.00245	0.797	0.257	0.0221	0.0575	0.00139	0.400
60	SHISA4	shisa homolog 4 (Xenopus laevis)	526585	5	5	5	1	1	0	0	1	3	0	0.00133	0.656	0.759	0.0361	0.116	0.00151	0.427
61	HIST1H2AK	histone cluster 1, H2ak	383689	5	5	5	1	2	1	1	1	0	0	0.000191	0.420	0.865	0.501	0.865	0.00161	0.443
62	ZNF717	zinc finger protein 717	1112734	5	5	5	1	1	0	0	0	4	0	0.0116	0.951	0.328	0.00685	0.0143	0.00162	0.443
63	KDM6A	lysine (K)-specific demethylase 6A	4060848	16	15	15	1	0	1	1	5	9	0	0.000937	0.329	0.133	0.261	0.189	0.00171	0.461
64	PYHIN1	pyrin and HIN domain family, member 1	1500957	9	9	9	0	0	4	2	2	1	0	0.000720	0.160	0.904	0.0747	0.283	0.00194	0.514
65	GOLGA6L6	golgin A6 family-like 6	681902	6	6	6	0	3	0	0	0	3	0	0.000574	0.488	0.766	0.183	0.367	0.00200	0.515
66	IBSP	integrin-binding sialoprotein (bone sialoprotein, bone sialoprotein II)	944715	5	5	5	0	0	0	2	1	2	0	0.0327	0.327	0.0129	0.0545	0.00656	0.00203	0.515
67	ZNF540	zinc finger protein 540	1929856	11	11	11	1	2	6	1	1	1	0	0.000215	0.317	0.632	0.688	1.000	0.00203	0.515
68	RNF215	ring finger protein 215	719012	3	3	3	0	0	0	0	2	1	0	0.0833	0.759	0.00539	0.0176	0.00287	0.00223	0.553
69	HAS1	hyaluronan synthase 1	698480	4	4	4	0	3	0	1	0	0	0	0.0199	0.248	0.0430	0.00989	0.0123	0.00228	0.553
70	ZNF268	zinc finger protein 268	544912	5	5	5	1	0	2	1	0	2	0	0.00228	0.779	NaN	NaN	NaN	0.00228	0.553
71	HCFC1	host cell factor C1 (VP16-accessory protein)	4845082	18	17	18	1	5	2	5	4	2	0	0.00207	0.0184	0.105	0.260	0.128	0.00245	0.581
72	NEK5	NIMA (never in mitosis gene a)-related kinase 5	2071600	9	9	9	0	1	1	3	3	1	0	0.00411	0.141	0.151	0.0450	0.0654	0.00248	0.581
73	PRR21	proline rich 21	808890	5	5	4	0	3	1	0	0	1	0	0.00938	0.358	0.0152	0.508	0.0292	0.00252	0.581
74	GPSM2	G-protein signaling modulator 2 (AGS3-like, C. elegans)	2056459	10	10	10	0	1	3	3	0	3	0	0.00190	0.208	0.113	0.298	0.144	0.00253	0.581
75	EIF3I	eukaryotic translation initiation factor 3, subunit I	997618	6	6	6	0	2	2	0	1	1	0	0.00310	0.226	0.0645	0.547	0.0952	0.00269	0.591
76	KCNT2	potassium channel, subfamily T, member 2	3428381	14	14	14	0	0	5	1	2	5	1	0.00142	0.0579	0.157	0.739	0.211	0.00273	0.591
77	KLHL31	kelch-like 31 (Drosophila)	1584372	5	4	4	1	1	2	0	2	0	0	0.463	0.584	0.000406	0.962	0.000650	0.00274	0.591
78	IGSF1	immunoglobulin superfamily, member 1	4015130	16	13	16	1	1	1	5	6	3	0	0.00916	0.0942	0.0348	0.107	0.0332	0.00277	0.591
79	TLR4	toll-like receptor 4	2452971	15	13	14	1	0	6	3	4	2	0	0.000354	0.0826	0.759	0.883	0.876	0.00282	0.591
80	STAG2	stromal antigen 2	3821684	13	13	13	1	2	2	0	4	5	0	0.00548	0.255	0.0688	0.139	0.0570	0.00283	0.591
81	ANGPT4	angiopoietin 4	1396598	10	10	10	1	2	1	5	1	1	0	0.000586	0.196	0.654	0.192	0.534	0.00284	0.591
82	ZFP91	zinc finger protein 91 homolog (mouse)	1376748	7	7	7	1	0	2	3	1	1	0	0.0105	0.603	0.0270	0.0755	0.0302	0.00287	0.591
83	HNF1A	HNF1 homeobox A	1551664	7	7	6	0	1	0	2	2	2	0	0.0109	0.243	0.0118	0.646	0.0293	0.00289	0.591
84	KCNN3	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3	2134770	9	9	4	5	0	2	0	7	0	0	1.000	0.965	0.000237	1.000	0.000325	0.00294	0.594
85	B4GALNT4	beta-1,4-N-acetyl-galactosaminyl transferase 4	1091256	6	6	6	0	2	1	1	1	1	0	0.0541	0.240	0.0832	0.00387	0.00617	0.00301	0.596
86	HCFC2	host cell factor C2	2292640	10	10	10	0	1	3	2	1	3	0	0.00416	0.161	0.176	0.0804	0.0821	0.00307	0.596
87	CBLC	Cas-Br-M (murine) ecotropic retroviral transforming sequence c	1022222	7	7	7	1	0	1	0	3	3	0	0.00363	0.670	0.159	0.0625	0.0965	0.00314	0.596
88	CD244	CD244 molecule, natural killer cell receptor 2B4	1121858	3	3	2	1	0	3	0	0	0	0	0.358	0.716	0.268	0.00110	0.000981	0.00315	0.596
89	RPS5	ribosomal protein S5	584111	6	6	6	0	2	0	1	3	0	0	0.000719	0.274	0.412	0.644	0.489	0.00315	0.596
90	NUP93	nucleoporin 93kDa	2464444	3	3	1	1	0	3	0	0	0	0	0.777	0.737	0.000161	0.144	0.000458	0.00318	0.596
91	MS4A14	membrane-spanning 4-domains, subfamily A, member 14	2005561	5	4	5	0	0	3	0	1	1	0	0.367	0.397	0.000237	0.536	0.000974	0.00320	0.596
92	TPRX1	tetra-peptide repeat homeobox 1	953464	6	6	5	0	1	0	1	4	0	0	0.000978	0.0801	0.268	0.989	0.393	0.00340	0.621
93	TMEM151B	transmembrane protein 151B	563010	6	6	6	0	2	0	0	3	1	0	0.000386	0.310	0.571	0.734	1.000	0.00342	0.621
94	GIMAP8	GTPase, IMAP family member 8	1954697	11	11	10	1	3	4	0	2	2	0	0.000756	0.163	0.368	0.833	0.515	0.00345	0.621
95	UBXN11	UBX domain protein 11	1349555	8	8	7	0	4	0	0	2	2	0	0.00261	0.168	0.0736	0.909	0.150	0.00347	0.621
96	PGR	progesterone receptor	1421874	6	6	6	0	1	0	3	1	1	0	0.0129	0.291	0.0892	0.0136	0.0312	0.00355	0.621
97	TRIM73	tripartite motif-containing 73	355156	4	4	3	1	3	0	0	0	1	0	0.00335	0.679	0.333	0.0478	0.121	0.00358	0.621
98	KIAA1191	KIAA1191	907811	4	4	4	0	1	0	1	1	1	0	0.0425	0.430	0.00896	0.135	0.00957	0.00358	0.621
99	SETD7	SET domain containing (lysine methyltransferase) 7	1085038	5	5	5	1	2	1	0	1	1	0	0.0556	0.628	0.201	0.00476	0.00761	0.00371	0.625
100	SGPL1	sphingosine-1-phosphate lyase 1	1720578	4	4	4	1	0	2	1	0	1	0	0.321	0.617	0.000770	0.760	0.00132	0.00371	0.625
101	SHISA9	shisa homolog 9 (Xenopus laevis)	960710	7	7	7	0	2	1	0	3	1	0	0.00105	0.214	0.460	0.244	0.404	0.00372	0.625
102	FATE1	fetal and adult testis expressed 1	529653	5	5	5	0	0	1	2	0	2	0	0.000759	0.260	0.341	0.554	0.569	0.00378	0.627
103	DALRD3	DALR anticodon binding domain containing 3	1171404	8	8	8	1	0	2	3	0	3	0	0.000966	0.375	0.529	0.314	0.455	0.00384	0.627
104	HIST1H2BB	histone cluster 1, H2bb	375220	6	5	6	1	2	1	1	1	1	0	0.00131	0.427	0.280	0.275	0.336	0.00384	0.627
105	TGS1	trimethylguanosine synthase homolog (S. cerevisiae)	2539987	14	13	14	1	1	7	1	1	4	0	0.000445	0.353	1.000	0.522	1.000	0.00388	0.627
106	KCNA7	potassium voltage-gated channel, shaker-related subfamily, member 7	787306	5	5	5	0	2	0	1	1	1	0	0.00608	0.284	0.395	0.0260	0.0760	0.00401	0.637
107	CFP	complement factor properdin	1260498	4	4	4	1	2	1	0	0	1	0	0.121	0.618	0.00234	0.0811	0.00382	0.00402	0.637
108	PAGE1	P antigen family, member 1 (prostate associated)	448853	4	4	4	1	1	0	3	0	0	0	0.00272	0.748	0.205	0.199	0.177	0.00415	0.644
109	TRIM74	tripartite motif-containing 74	355156	4	4	3	0	2	0	1	1	0	0	0.00397	0.388	0.333	0.0478	0.121	0.00416	0.644
110	UQCR10	ubiquinol-cytochrome c reductase, complex III subunit X	216410	2	2	2	1	1	0	0	0	1	0	0.0564	0.729	0.0176	0.0726	0.00856	0.00417	0.644
111	STK31	serine/threonine kinase 31	3074513	13	13	12	0	4	4	2	2	1	0	0.00127	0.0738	0.637	0.123	0.408	0.00442	0.669
112	FAM47B	family with sequence similarity 47, member B	1887384	11	11	11	2	3	2	5	0	1	0	0.00675	0.340	0.774	0.0193	0.0789	0.00455	0.669
113	MUL1	mitochondrial ubiquitin ligase activator of NFKB 1	965134	3	1	3	0	0	0	2	1	0	0	0.759	0.422	0.000456	0.476	0.000706	0.00457	0.669
114	PREB	prolactin regulatory element binding	1119429	5	5	5	1	0	2	0	2	1	0	0.257	0.638	0.000629	0.907	0.00214	0.00469	0.669
115	RPGR	retinitis pigmentosa GTPase regulator	3589713	5	5	5	1	1	3	0	0	1	0	0.546	0.693	0.117	0.000335	0.00101	0.00471	0.669
116	POLR3GL	polymerase (RNA) III (DNA directed) polypeptide G (32kD)-like	650340	4	4	4	0	1	0	1	0	2	0	0.0132	0.375	0.0186	0.785	0.0419	0.00471	0.669
117	ZNF879	zinc finger protein 879	1583100	3	3	3	0	0	0	2	1	0	0	0.306	0.527	0.00155	0.116	0.00181	0.00472	0.669
118	KLF15	Kruppel-like factor 15	764503	8	7	8	1	4	2	0	1	1	0	0.000575	0.223	0.922	0.679	0.966	0.00472	0.669
119	ACVR2A	activin A receptor, type IIA	1540987	8	8	8	1	2	0	3	1	2	0	0.000557	0.446	0.528	0.829	1.000	0.00473	0.669
120	PARVG	parvin, gamma	958280	3	3	1	0	3	0	0	0	0	0	0.183	0.362	0.00184	0.197	0.00305	0.00475	0.669
121	ZNF41	zinc finger protein 41	2287280	11	11	11	1	1	3	2	3	2	0	0.000562	0.271	0.819	0.842	1.000	0.00477	0.669
122	VSTM2B	V-set and transmembrane domain containing 2B	278999	3	3	2	0	1	0	2	0	0	0	0.00448	0.342	0.0290	0.796	0.130	0.00492	0.685
123	VASH2	vasohibin 2	944627	3	3	3	1	1	0	0	0	2	0	0.133	0.805	0.0831	0.000717	0.00453	0.00508	0.691
124	SIGLEC7	sialic acid binding Ig-like lectin 7	1394983	7	7	7	2	0	3	1	2	1	0	0.0610	0.687	0.776	0.00205	0.00996	0.00511	0.691
125	CASZ1	castor zinc finger 1	3494677	14	14	12	1	4	2	4	2	2	0	0.00996	0.0916	0.114	0.0813	0.0612	0.00512	0.691
126	PCDHB7	protocadherin beta 7	2185199	14	13	14	2	4	4	3	1	2	0	0.00378	0.0992	0.885	0.0393	0.162	0.00513	0.691
127	TXNDC2	thioredoxin domain-containing 2 (spermatozoa)	1626347	4	4	4	2	0	0	4	0	0	0	0.638	0.786	0.0164	0.00496	0.000967	0.00518	0.692
128	MAMLD1	mastermind-like domain containing 1	2236340	10	10	10	1	0	1	3	2	4	0	0.00576	0.386	0.0465	0.958	0.111	0.00533	0.708
129	TMEM120B	transmembrane protein 120B	939752	5	5	5	1	1	1	1	0	2	0	0.00945	0.359	0.453	0.0193	0.0721	0.00565	0.741
130	ZNF362	zinc finger protein 362	943587	5	5	3	0	1	0	1	0	3	0	0.0279	0.460	0.0444	0.0345	0.0245	0.00567	0.741
131	GRIA3	glutamate receptor, ionotrophic, AMPA 3	2794744	16	15	16	2	2	5	5	2	2	0	0.00371	0.208	0.608	0.0649	0.187	0.00572	0.742
132	SUPT5H	suppressor of Ty 5 homolog (S. cerevisiae)	3228662	12	12	12	1	2	2	2	2	3	1	0.0159	0.160	0.0714	0.0470	0.0444	0.00581	0.748
133	FUNDC1	FUN14 domain containing 1	468999	3	3	3	0	0	0	1	0	2	0	0.0268	0.555	0.0145	0.774	0.0277	0.00610	0.774
134	ZNF587	zinc finger protein 587	1687941	8	8	8	1	3	1	3	0	1	0	0.00239	0.474	0.140	0.663	0.314	0.00615	0.774
135	KLK15	kallikrein-related peptidase 15	632288	4	4	4	1	0	0	4	0	0	0	0.0213	0.616	0.0488	0.119	0.0352	0.00615	0.774
136	DLG1	discs, large homolog 1 (Drosophila)	2847423	14	14	14	1	0	6	2	2	4	0	0.000766	0.280	0.932	0.568	1.000	0.00626	0.781
137	FRMPD2	FERM and PDZ domain containing 2	3287886	13	13	10	3	0	3	3	5	2	0	0.290	0.496	0.00101	0.991	0.00266	0.00632	0.781
138	RGAG1	retrotransposon gag domain containing 1	4054711	18	16	18	2	2	6	3	7	0	0	0.00829	0.101	0.0768	0.392	0.0938	0.00635	0.781
139	HIST1H2AI	histone cluster 1, H2ai	380601	4	4	4	0	0	0	2	1	1	0	0.00414	0.332	0.166	0.430	0.196	0.00657	0.794
140	NKAIN2	Na+/K+ transporting ATPase interacting 2	633582	4	4	4	0	0	1	1	1	1	0	0.00437	0.369	0.0824	0.408	0.186	0.00659	0.794
141	MCOLN2	mucolipin 2	1711398	7	6	7	0	0	1	1	4	1	0	0.0997	0.206	0.00402	0.531	0.00819	0.00662	0.794
142	BACH2	BTB and CNC homology 1, basic leucine zipper transcription factor 2	2272352	11	11	11	2	3	0	2	4	2	0	0.00623	0.377	0.0889	0.295	0.132	0.00664	0.794
143	DCDC1	doublecortin domain containing 1	1064878	7	7	6	1	0	3	1	3	0	0	0.000836	0.514	0.638	0.957	1.000	0.00676	0.801
144	PEG3	paternally expressed 3	4297068	19	18	17	1	4	7	3	3	2	0	0.00471	0.0804	0.104	0.704	0.179	0.00679	0.801
145	ZNF479	zinc finger protein 479	1538507	8	8	8	1	0	2	2	2	2	0	0.00183	0.607	0.982	0.213	0.474	0.00698	0.810
146	ZNF677	zinc finger protein 677	1711511	5	5	5	1	1	3	1	0	0	0	0.0861	0.708	0.00716	0.209	0.0101	0.00700	0.810
147	CALHM2	calcium homeostasis modulator 2	743965	4	4	4	0	2	0	0	0	2	0	0.0439	0.333	0.00762	0.846	0.0198	0.00701	0.810
148	RAB9B	RAB9B, member RAS oncogene family	595271	5	4	5	1	2	1	0	2	0	0	0.00709	0.623	0.128	0.0641	0.127	0.00722	0.828
149	CLEC18B	C-type lectin domain family 18, member B	1023852	6	6	6	0	3	1	0	1	1	0	0.00417	0.162	0.299	0.104	0.220	0.00734	0.830
150	DNAJC9	DnaJ (Hsp40) homolog, subfamily C, member 9	630277	6	6	6	0	1	3	1	1	0	0	0.00406	0.251	0.789	0.0502	0.231	0.00747	0.830
151	PLEKHB2	pleckstrin homology domain containing, family B (evectins) member 2	678796	6	6	6	0	2	1	2	0	1	0	0.000940	0.185	0.694	0.859	1.000	0.00749	0.830
152	SPRR2B	small proline-rich protein 2B	217395	3	3	3	0	0	0	0	0	3	0	0.00357	0.665	0.159	0.987	0.264	0.00751	0.830
153	CYP3A43	cytochrome P450, family 3, subfamily A, polypeptide 43	1528474	3	3	3	0	0	2	0	1	0	0	0.681	0.470	0.00412	0.0169	0.00139	0.00753	0.830
154	ILF2	interleukin enhancer binding factor 2, 45kDa	1200619	5	5	5	0	0	1	3	0	1	0	0.0180	0.302	0.0427	0.965	0.0530	0.00758	0.830
155	GPR34	G protein-coupled receptor 34	1118098	4	4	4	1	0	1	0	3	0	0	0.136	0.686	0.00251	0.717	0.00703	0.00761	0.830
156	LILRA4	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 4	1465309	6	6	5	1	4	1	0	0	1	0	0.0373	0.399	0.0330	0.118	0.0257	0.00763	0.830
157	LILRA6	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 6	1375594	8	8	6	2	7	0	0	0	1	0	0.00924	0.425	0.0633	0.643	0.105	0.00769	0.831
158	KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	2922505	8	7	8	0	1	4	1	0	2	0	0.265	0.159	0.00196	0.939	0.00370	0.00777	0.834
159	ICOSLG	inducible T-cell co-stimulator ligand	795955	6	6	6	0	1	1	0	0	4	0	0.00134	0.219	0.561	0.557	0.737	0.00781	0.834
160	FAM26D	family with sequence similarity 26, member D	381232	3	3	3	1	0	0	0	2	1	0	0.00803	0.811	NaN	NaN	NaN	0.00803	0.842
161	SPAG11B	sperm associated antigen 11B	474865	3	3	1	0	3	0	0	0	0	0	0.0280	0.541	0.00718	0.284	0.0364	0.00804	0.842
162	DHRS4L2	dehydrogenase/reductase (SDR family) member 4 like 2	686708	4	4	4	0	0	1	2	0	1	0	0.0187	0.234	0.0320	0.291	0.0545	0.00806	0.842
163	ZNF25	zinc finger protein 25	1358673	4	3	4	0	1	2	1	0	0	0	0.276	0.329	0.00223	0.173	0.00372	0.00808	0.842
164	CD99	CD99 molecule	542299	4	4	4	0	0	0	1	3	0	0	0.0181	0.357	0.0311	0.957	0.0573	0.00817	0.846
165	SRXN1	sulfiredoxin 1 homolog (S. cerevisiae)	194454	2	2	2	0	0	1	0	1	0	0	0.01000	0.610	0.0905	0.597	0.105	0.00822	0.846
166	FAM168B	family with sequence similarity 168, member B	571249	2	2	2	0	1	0	0	0	1	0	0.177	0.607	0.0913	0.00223	0.00598	0.00831	0.849
167	TTPAL	tocopherol (alpha) transfer protein-like	988888	4	4	4	0	0	1	2	0	1	0	0.117	0.390	0.139	0.00319	0.00909	0.00836	0.850
168	ZNF676	zinc finger protein 676	1728017	7	7	7	1	0	2	1	4	0	0	0.0174	0.557	0.0293	0.528	0.0623	0.00849	0.855
