cytoband	8q23.3	15q22.31	
		GOLGA8DP	
		MIR1268A	
		OR4N4	
		snoU13|ENSG00000238960.1	
		DKFZP547L112	
		RN7SL400P	
		CT60	
		NBEAP1	
		RN7SL759P	
		GOLGA6L6	
		snoU13|ENSG00000239083.1	
		CHEK2P2	
		RN7SL584P	
		ACTC1	
		ADAM10	
		ANXA2	
		APBA2	
		AQP9	
		BNIP2	
		BUB1B	
		CAPN3	
		CHRM5	
		CKMT1B	
		CYP19A1	
		DUT	
		EPB42	
		FBN1	
		GABPB1	
		GABRA5	
		GABRB3	
		GABRG3	
		GALK2	
		GANC	
		GATM	
		GCHFR	
		PDIA3	
		GTF2A2	
		HDC	
		ITPKA	
		IVD	
		LIPC	
		LTK	
		MAP1A	
		MEIS2	
		MFAP1	
		TRPM1	
		MYO1E	
		MYO5A	
		NDN	
		NEDD4	
		OAZ2	
		OCA2	
		PLCB2	
		PPIB	
		MAPK6	
		RAB27A	
		RAD51	
		RORA	
		RYR3	
		SCG5	
		SLC12A1	
		SNRPN	
		SNX1	
		SPINT1	
		SRP14	
		TCF12	
		TJP1	
		TP53BP1	
		TPM1	
		TYRO3	
		UBE3A	
		MKRN3	
		CILP	
		EIF3J	
		RAB11A	
		SNAP23	
		ALDH1A2	
		HERC2	
		HERC1	
		USP8	
		CCNB2	
		SLC28A2	
		SLC24A1	
		CCPG1	
		GCNT3	
		COPS2	
		TRIP4	
		TGM5	
		PIGB	
		IGDCC3	
		PPIP5K1	
		AQR	
		SECISBP2L	
		KIAA0101	
		ARHGAP11A	
		LCMT2	
		BCL2L10	
		PDCD7	
		RASGRP1	
		DENND4A	
		GNB5	
		ARPP19	
		SLC27A2	
		GPR176	
		CHP1	
		OIP5	
		BAHD1	
		FAN1	
		CEP152	
		MAPKBP1	
		GOLGA8A	
		ZNF609	
		RTF1	
		CYFIP1	
		MGA	
		DMXL2	
		VPS39	
		FAM189A1	
		AP4E1	
		DAPK2	
		EID1	
		NPAP1	
		SERF2	
		TMEM87A	
		RPAP1	
		BLOC1S6	
		GREM1	
		FOXB1	
		RPUSD2	
		TUBGCP4	
		SCG3	
		TMOD3	
		TMOD2	
		EHD4	
		DUOX2	
		MYEF2	
		RPS27L	
		NDUFAF1	
		NUSAP1	
		EMC4	
		RASL12	
		SPG21	
		SPTBN5	
		PTPLAD1	
		CTDSPL2	
		KLF13	
		RAB8B	
		DUOX1	
		CSNK1G1	
		DLL4	
		INO80	
		FAM63B	
		RNF111	
		ZNF280D	
		TRPM7	
		VPS13C	
		PPP1R14D	
		DPP8	
		MTMR10	
		PARP16	
		ZNF770	
		HAUS2	
		RMDN3	
		DNAJC17	
		MNS1	
		NOP10	
		MYO5C	
		NDNL2	
		FAM214A	
		EMC7	
		PAK6	
		DTWD1	
		CASC5	
		AVEN	
		STARD9	
		VPS18	
		IGDCC4	
		SQRDL	
		ZNF106	
		RFX7	
		SPATA5L1	
		CHAC1	
		NARG2	
		KATNBL1	
		SLTM	
		SNX22	
		ATP8B4	
		WDR76	
		TMEM62	
		SEMA6D	
		PIF1	
		SPG11	
		ELL3	
		PLEKHO2	
		POLR2M	
		VWA9	
		NIPA2	
		APH1B	
		TLN2	
		FAM96A	
		C15orf48	
		MEGF11	
		C15orf41	
		SPPL2A	
		ZFYVE19	
		CGNL1	
		FRMD5	
		DISP2	
		CHRFAM7A	
		ARHGAP11B	
		DPH6	
		C15orf57	
		KNSTRN	
		BMF	
		SHF	
		DUOXA1	
		LDHAL6B	
		CHST14	
		CASC4	
		LACTB	
		TUBGCP5	
		TGM7	
		CATSPER2	
		LEO1	
		SLC51B	
		NIPA1	
		PLA2G4E	
		TRIM69	
		C15orf43	
		C2CD4A	
		FAM81A	
		C15orf65	
		TMCO5A	
		ZSCAN29	
		TTBK2	
		CDAN1	
		STRC	
		DYX1C1	
		OTUD7A	
		SPRED1	
		PGBD4	
		ADAL	
		EXD1	
		FSIP1	
		RHOV	
		FAM227B	
		UBR1	
		PATL2	
		LPCAT4	
		PLA2G4F	
		LRRC57	
		LYSMD2	
		NUTM1	
		WDR72	
		SLC24A5	
		PRTG	
		GOLGA6L2	
		PLA2G4D	
		HERC2P3	
		GOLGA6L1	
		GOLGA8G	
		GOLGA8I	
		FBXL22	
		GLDN	
		FMN1	
		RBPMS2	
		ANKDD1A	
		USP50	
		TEX9	
		C15orf52	
		TNFAIP8L3	
		C2CD4B	
		GOLGA8EP	
		OR4M2	
		KBTBD13	
		UBAP1L	
		SHC4	
		CTXN2	
		C15orf53	
		C15orf54	
		DUOXA2	
		HERC2P9	
		GOLGA8B	
		EIF2AK4	
		UNC13C	
		MIR422A	
		CKMT1A	
		SERINC4	
		C15orf62	
		GOLGA8N	
		C15orf56	
		PHGR1	
		MIR147B	
		ANKRD63	
		JMJD7	
		PLA2G4B	
		POTEB2	
		MIR1282	
		MIR4311	
		MIR4508	
		MIR4510	
		MIR4716	
		MIR4713	
		MIR4712	
		GCOM1	
		POTEB	
