rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
33	AKT1	v-akt murine thymoma viral oncogene homolog 1	1495	51	0	0	3	0	0	0	3	3	2	7.357149e-03	1.420000e-02	3.060000e-02	1.370016e-04	7.577849e-02
34	ATM	ataxia telangiectasia mutated	9419	4	0	2	17	0	0	5	22	22	22	1.040774e-04	1	2.100000e-02	1.570227e-04	8.429811e-02
35	STRC	stereocilin	5442	12	0	0	2	1	1	1	5	5	5	1.351257e-05	1	9.990000e-01	1.650141e-04	8.605719e-02
36	APC	adenomatous polyposis coli	8592	0	0	0	2	6	0	2	10	10	10	1.809817e-05	1	9.390000e-01	2.157247e-04	1.093784e-01
37	ZFP36L2	zinc finger protein 36, C3H type-like 2	1489	1	0	1	1	0	0	3	4	4	4	2.055018e-05	1	8.490000e-01	2.423409e-04	1.195526e-01
38	MYOT	myotilin	1529	54	0	0	4	0	1	0	5	5	5	4.313276e-05	1	2.790000e-01	2.551367e-04	1.225529e-01
39	KIRREL	kin of IRRE like (Drosophila)	2330	20	0	2	6	0	0	0	6	6	5	3.639617e-03	1.304000e-01	3.200000e-03	2.678883e-04	1.253786e-01
40	PGBD2	piggyBac transposable element derived 2	1787	4	0	0	1	0	0	3	4	3	3	4.746764e-03	1.250000e-02	2.817000e-01	3.016243e-04	1.376387e-01
41	LOC100132247		3426	155	0	0	0	0	0	3	3	3	3	3.788606e-04	1	7.800000e-02	4.042673e-04	1.799778e-01
42	EMG1	EMG1 nucleolar protein homolog (S. cerevisiae)	754	1000	0	0	0	0	0	4	4	4	2	6.283881e-02	6.000000e-04	7.098667e-01	4.217401e-04	1.832862e-01
43	CDH16	cadherin 16, KSP-cadherin	2558	29	0	2	4	0	0	0	4	4	3	9.518500e-04	4.000000e-02	7.030000e-01	4.736585e-04	1.972353e-01
44	TAPT1	transmembrane anterior posterior transformation 1	1758	6	0	0	0	0	0	2	2	2	1	4.301122e-03	1.000000e-02	1.041000e-01	4.754481e-04	1.972353e-01
45	KRT25	keratin 25	1383	15	0	2	5	1	0	0	6	6	6	4.893833e-05	1	5.600000e-01	5.346488e-04	2.168654e-01
46	CDK12	cyclin-dependent kinase 12	4525	2	0	1	6	3	1	4	14	9	14	5.975316e-05	1	8.430000e-01	6.408699e-04	2.478811e-01
47	USP28	ubiquitin specific peptidase 28	3332	3	0	1	2	2	1	1	6	4	6	7.328792e-04	1	5.900000e-02	6.513228e-04	2.478811e-01
48	FAM120B	family with sequence similarity 120B	2773	26	0	0	2	2	1	0	5	4	5	7.335386e-03	1.200000e-02	3.555000e-01	6.518541e-04	2.478811e-01
49	SFI1	Sfi1 homolog, spindle assembly associated (yeast)	3859	12	0	0	1	1	0	1	3	3	3	1.096011e-03	1	3.200000e-02	6.672565e-04	2.480219e-01
50	NTM	neurotrimin	1195	41	0	0	5	0	2	0	7	7	7	2.360310e-03	7.200000e-02	6.700000e-02	6.794005e-04	2.480219e-01
51	ASH1L	ash1 (absent, small, or homeotic)-like (Drosophila)	9003	24	0	3	2	3	0	2	7	7	7	6.859067e-05	1	8.890000e-01	7.261937e-04	2.550580e-01
52	RNF17	ring finger protein 17	5014	48	0	1	1	0	2	0	3	3	2	1.345790e-02	4.800000e-03	3.179000e-01	7.266213e-04	2.550580e-01
53	ZNF828	zinc finger protein 828	2446	5	0	1	4	0	0	0	4	4	2	8.076209e-01	1.000000e-04	1.590800e-01	8.418643e-04	2.778425e-01
54	AP4B1	adaptor-related protein complex 4, beta 1 subunit	2262	73	0	0	5	0	0	0	5	5	4	2.926548e-04	2.290000e-01	9.960000e-01	8.419644e-04	2.778425e-01
55	ITGA2B	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)	3238	45	0	1	4	0	0	1	5	5	5	8.539029e-03	1	1.700000e-03	8.613127e-04	2.778425e-01
56	FAM111A	family with sequence similarity 111, member A	1848	149	0	1	1	0	0	2	3	3	2	3.339708e-02	6.200000e-03	1.607000e-01	8.675518e-04	2.778425e-01
57	EDC4	enhancer of mRNA decapping 4	4318	1	0	1	3	0	0	2	5	4	4	6.007339e-03	1.260000e-02	9.756000e-01	8.676393e-04	2.778425e-01
58	OXA1L	oxidase (cytochrome c) assembly 1-like	1524	38	0	0	3	0	0	0	3	3	2	5.707159e-03	1.600000e-02	5.840000e-01	9.935581e-04	3.126796e-01
59	C11orf41	chromosome 11 open reading frame 41	5644	21	0	0	7	1	1	0	9	9	9	2.677601e-04	1	2.610000e-01	1.049425e-03	3.246637e-01
60	TBXA2R	thromboxane A2 receptor	1283	59	0	1	3	2	0	0	5	5	5	3.034457e-04	1	3.090000e-01	1.182910e-03	3.541691e-01
61	TSGA14	testis specific, 14	1164	6	0	0	1	1	0	1	3	3	3	2.103814e-03	1	3.500000e-02	1.183603e-03	3.541691e-01
62	PLAA	phospholipase A2-activating protein	2443	33	0	0	6	0	0	0	6	5	5	1.111910e-03	9.000000e-02	5.830000e-01	1.204141e-03	3.545031e-01
63	SOAT2	sterol O-acyltransferase 2	1627	30	0	2	1	2	0	0	3	3	3	1.267493e-04	1	4.990000e-01	1.264108e-03	3.568424e-01
64	LILRA2	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 2	1482	36	0	1	5	0	0	0	5	3	3	3.392310e-01	1.875000e-04	8.739125e-01	1.268256e-03	3.568424e-01
65	HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	659	0	1	1	4	0	0	0	4	4	2	4.641612e-01	4.166667e-04	2.594667e-01	1.306760e-03	3.568424e-01
66	GJA8	gap junction protein, alpha 8, 50kDa	1308	15	0	1	5	0	0	0	5	5	5	4.810376e-04	1	1.600000e-01	1.309369e-03	3.568424e-01
67	GIGYF2	GRB10 interacting GYF protein 2	4080	5	0	0	5	2	0	1	8	8	8	1.551254e-03	1	5.500000e-02	1.309836e-03	3.568424e-01
68	DDN	dendrin	2142	43	0	1	4	0	0	0	4	4	4	1.428535e-04	1	9.200000e-01	1.407634e-03	3.778462e-01
69	C4orf23	chromosome 4 open reading frame 23	2318	35	0	0	1	0	1	0	2	2	2	1.469273e-02	1	1.000000e-02	1.443644e-03	3.789290e-01
70	BMP2K	BMP2 inducible kinase	3582	6	0	0	5	1	0	1	7	7	6	4.933632e-03	2.600000e-02	9.460000e-01	1.453187e-03	3.789290e-01
71	SEC16A	SEC16 homolog A (S. cerevisiae)	7194	8	0	0	1	2	0	0	3	3	3	5.059775e-04	1	2.850000e-01	1.522049e-03	3.912952e-01
72	FBXO42	F-box protein 42	2190	20	0	1	3	2	0	0	5	4	4	6.208160e-04	5.210000e-01	1.010000e-01	1.576210e-03	3.995911e-01
73	FAM47C	family with sequence similarity 47, member C	3110	31	0	3	14	0	0	0	14	10	9	1.822469e-01	8.500000e-04	5.251000e-01	1.672730e-03	4.133985e-01
74	POM121	POM121 membrane glycoprotein (rat)	2999	45	0	1	3	0	0	0	3	3	2	5.983063e-02	9.000000e-03	1.104000e-01	1.675971e-03	4.133985e-01
75	C10orf79	chromosome 10 open reading frame 79	5146	7	0	1	3	1	1	0	5	5	5	5.361117e-04	1	2.550000e-01	1.779354e-03	4.236403e-01
76	CCDC57	coiled-coil domain containing 57	2812	29	0	0	2	1	0	0	3	3	3	3.150690e-04	1	5.000000e-01	1.790875e-03	4.236403e-01
77	THBS4	thrombospondin 4	2970	157	0	1	2	0	0	2	4	4	3	2.662291e-02	6.700000e-03	7.132000e-01	1.809636e-03	4.236403e-01
78	NTRK1	neurotrophic tyrosine kinase, receptor, type 1	2665	19	0	1	8	0	0	1	9	6	9	2.720915e-04	1	6.090000e-01	1.810329e-03	4.236403e-01
79	FNBP4	formin binding protein 4	3118	34	0	0	0	0	1	2	3	3	2	5.708110e-02	3.300000e-03	4.486000e-01	1.950140e-03	4.485301e-01
80	G3BP2	GTPase activating protein (SH3 domain) binding protein 2	1493	18	0	0	3	1	0	0	4	4	4	2.073417e-04	1	5.060000e-01	1.965836e-03	4.485301e-01
81	LY75	lymphocyte antigen 75	5307	78	0	2	2	0	3	0	5	5	4	1.572863e-02	1.220000e-02	4.151000e-01	2.061255e-03	4.505649e-01
82	SFRS11	splicing factor, arginine/serine-rich 11	1503	39	0	0	0	0	0	2	2	2	1	2.215273e-02	1.000000e-02	8.265000e-01	2.085671e-03	4.505649e-01
83	BRAF	v-raf murine sarcoma viral oncogene homolog B1	2371	0	0	0	7	0	0	1	8	8	7	1.166872e-01	4.500000e-02	1.575000e-02	2.087172e-03	4.505649e-01
84	LARP1	La ribonucleoprotein domain family, member 1	3134	2	0	0	5	0	0	1	6	5	6	1.111670e-01	1.810000e-02	3.730000e-02	2.092459e-03	4.505649e-01
85	CASR	calcium-sensing receptor (hypocalciuric hypercalcemia 1, severe neonatal hyperparathyroidism)	3287	53	0	1	2	0	0	1	3	3	3	4.396368e-03	1	4.200000e-02	2.145170e-03	4.505649e-01
86	TMEM132B	transmembrane protein 132B	3271	15	0	1	4	0	0	0	4	4	3	1.271233e-01	4.320000e-02	1.020000e-02	2.146938e-03	4.505649e-01
87	TRPM4	transient receptor potential cation channel, subfamily M, member 4	3743	33	0	0	3	0	1	2	6	6	6	2.288945e-04	1	4.630000e-01	2.147545e-03	4.505649e-01
88	IREB2	iron-responsive element binding protein 2	2976	16	0	0	2	0	1	1	4	4	4	3.211935e-03	1	4.600000e-02	2.194224e-03	4.537612e-01
89	SAMD9L	sterile alpha motif domain containing 9-like	4759	11	0	1	2	2	0	1	5	5	5	4.790669e-04	1	3.130000e-01	2.212499e-03	4.537612e-01
90	PLCXD2	phosphatidylinositol-specific phospholipase C, X domain containing 2	1215	40	1	0	2	0	1	0	3	3	3	1.140112e-03	1	9.000000e-02	2.386973e-03	4.780371e-01
91	GGT5	gamma-glutamyltransferase 5	1808	93	0	1	3	0	0	0	3	3	2	6.583992e-03	7.000000e-02	6.700000e-02	2.433967e-03	4.780371e-01
92	KIAA1012	KIAA1012	4420	1	0	0	0	0	1	3	4	4	4	2.658989e-04	1	6.970000e-01	2.454884e-03	4.780371e-01
93	PLIN3	perilipin 3	1333	3	0	0	1	0	0	2	3	3	3	3.691643e-04	1	6.440000e-01	2.466208e-03	4.780371e-01
94	MBD1	methyl-CpG binding domain protein 1	2074	148	0	1	1	0	0	2	3	3	3	1.073336e-01	5.200000e-03	5.873000e-01	2.474918e-03	4.780371e-01
95	OR2AE1	olfactory receptor, family 2, subfamily AE, member 1	972	39	0	1	1	1	0	0	2	2	2	1.361949e-02	1	1.600000e-02	2.508241e-03	4.780371e-01
96	AGL	amylo-1, 6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III)	4800	25	0	0	3	1	0	2	6	5	6	1.187457e-02	1	1.500000e-02	2.514193e-03	4.780371e-01
97	NCKAP1L	NCK-associated protein 1-like	3506	19	0	0	6	0	0	0	6	6	6	1.191493e-02	1.310000e-01	6.300000e-02	2.619283e-03	4.897941e-01
98	PDS5B	PDS5, regulator of cohesion maintenance, homolog B (S. cerevisiae)	4480	14	0	0	2	0	0	3	5	4	4	2.872348e-02	9.000000e-03	9.787000e-01	2.629695e-03	4.897941e-01
99	SCNN1B	sodium channel, nonvoltage-gated 1, beta (Liddle syndrome)	1971	24	0	0	2	0	1	1	4	4	4	5.942253e-04	1	3.390000e-01	2.710083e-03	4.996681e-01
100	C16orf48	chromosome 16 open reading frame 48	1065	13	0	1	1	1	0	0	2	2	2	3.007425e-02	1	1.000000e-02	2.739540e-03	5.000483e-01
101	MYOM1	myomesin 1, 185kDa	5206	23	0	2	2	1	2	0	5	5	4	2.931641e-02	1.010000e-02	7.006000e-01	2.796870e-03	5.052907e-01
102	SLC16A6	solute carrier family 16, member 6 (monocarboxylic acid transporter 7)	1592	6	0	3	3	0	1	0	4	4	4	1.612091e-02	1	9.700000e-03	2.823626e-03	5.052907e-01
103	L1CAM	L1 cell adhesion molecule	3882	20	0	2	6	0	1	0	7	7	7	3.225485e-04	1	7.310000e-01	2.915599e-03	5.166837e-01
104	ZFC3H1	zinc finger, C3H1-type containing	6106	23	0	1	2	0	1	1	4	4	4	1.239230e-03	1	2.290000e-01	2.972493e-03	5.169557e-01
105	HOXB13	homeobox B13	859	85	0	0	4	0	0	0	4	4	4	2.010336e-03	1	1.220000e-01	2.989085e-03	5.169557e-01
106	RMI1	RMI1, RecQ mediated genome instability 1, homolog (S. cerevisiae)	1882	200	0	1	3	0	0	0	3	3	3	6.172784e-02	4.700000e-03	6.101000e-01	3.002099e-03	5.169557e-01
107	DLL3	delta-like 3 (Drosophila)	1895	137	0	0	3	0	0	0	3	3	3	1.267568e-02	9.800000e-02	3.800000e-01	3.174261e-03	5.305703e-01
108	LPIN1	lipin 1	2749	26	0	1	3	1	0	0	4	4	4	1.044175e-03	1	2.470000e-01	3.191642e-03	5.305703e-01
109	BMPR2	bone morphogenetic protein receptor, type II (serine/threonine kinase)	3165	97	0	1	2	1	0	0	3	2	3	1.431329e-01	2.500000e-03	1.960000e-01	3.197391e-03	5.305703e-01
110	COL11A1	collagen, type XI, alpha 1	5842	16	0	2	13	1	2	0	16	14	16	9.144361e-04	1	2.540000e-01	3.224117e-03	5.305703e-01
111	ZNF254	zinc finger protein 254	1992	15	0	1	3	0	0	0	3	3	1	3.656744e-01	1.000000e-03	9.713000e-01	3.259537e-03	5.305703e-01
112	BAHD1	bromo adjacent homology domain containing 1	2367	61	0	0	5	0	0	0	5	4	5	1.042720e-03	1	3.090000e-01	3.336211e-03	5.305703e-01
113	TAF1L	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 210kDa-like	5483	20	0	1	9	0	0	1	10	10	9	3.124908e-03	1.120000e-01	8.590000e-01	3.406969e-03	5.305703e-01
114	ATP2B4	ATPase, Ca++ transporting, plasma membrane 4	3876	10	0	1	3	0	2	0	5	5	5	3.845441e-04	1	7.630000e-01	3.408388e-03	5.305703e-01
115	NR1D1	nuclear receptor subfamily 1, group D, member 1	2038	20	0	0	4	0	0	0	4	4	4	4.956733e-03	1.400000e-01	4.800000e-01	3.424747e-03	5.305703e-01
116	ZDHHC14	zinc finger, DHHC-type containing 14	1499	79	0	0	2	0	0	1	3	3	3	3.457029e-02	1	1.800000e-03	3.429164e-03	5.305703e-01
117	NUDT12	nudix (nucleoside diphosphate linked moiety X)-type motif 12	1413	234	0	0	1	0	1	1	3	3	3	1.684269e-02	1	9.700000e-03	3.470355e-03	5.305703e-01
118	NANOS1	nanos homolog 1 (Drosophila)	881	6	0	0	0	0	0	1	1	1	1	3.521854e-03	NaN	NaN	3.521854e-03	5.305703e-01
119	ARID2	AT rich interactive domain 2 (ARID, RFX-like)	5588	1	0	2	4	0	0	5	9	9	9	4.032969e-04	1	7.120000e-01	3.555400e-03	5.305703e-01
120	PYGL	phosphorylase, glycogen; liver (Hers disease, glycogen storage disease type VI)	2620	64	0	2	4	0	0	0	4	4	3	1.222147e-02	3.300000e-02	7.730000e-01	3.555491e-03	5.305703e-01
121	RFT1	RFT1 homolog (S. cerevisiae)	1676	1	0	0	0	0	1	1	2	2	2	1.090036e-02	1	2.800000e-02	3.555529e-03	5.305703e-01
122	TNFRSF21	tumor necrosis factor receptor superfamily, member 21	1988	3	0	0	6	1	0	0	7	5	7	3.427685e-03	1	2.500000e-02	3.698086e-03	5.305703e-01
123	CR1L	complement component (3b/4b) receptor 1-like	1756	39	0	1	4	0	1	0	5	5	4	3.008307e-02	1.220000e-02	8.695000e-01	3.718020e-03	5.305703e-01
124	TCEB3C	transcription elongation factor B polypeptide 3C (elongin A3)	3280	20	0	1	7	1	0	0	8	5	7	2.182449e-03	1.540000e-01	7.540000e-01	3.728937e-03	5.305703e-01
125	FAM55D	family with sequence similarity 55, member D	1655	18	0	0	5	0	0	0	5	5	5	1.935355e-02	2.000000e-02	7.900000e-02	3.730495e-03	5.305703e-01
126	BDKRB1	bradykinin receptor B1	1068	395	0	0	3	0	0	0	3	3	2	3.441526e-02	1.060000e-02	8.363000e-01	3.738030e-03	5.305703e-01
127	POM121C	POM121 membrane glycoprotein C	3008	14	0	0	3	1	0	1	5	5	5	1.204217e-03	1	3.070000e-01	3.753172e-03	5.305703e-01
128	ZNF878	zinc finger protein 878	1753	18	0	2	2	0	0	2	4	3	3	2.050725e-02	1.500000e-02	9.990000e-01	3.768298e-03	5.305703e-01
129	MTF1	metal-regulatory transcription factor 1	2302	8	0	0	5	0	0	0	5	4	5	2.548785e-02	1.700000e-02	6.620000e-01	3.788759e-03	5.305703e-01
130	ITGAL	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)	3633	65	0	3	5	0	0	0	5	5	4	3.334230e-03	1.120000e-01	7.500000e-01	3.789971e-03	5.305703e-01
131	CDKL2	cyclin-dependent kinase-like 2 (CDC2-related kinase)	1526	83	0	0	5	0	0	0	5	5	5	4.357597e-04	1	9.230000e-01	3.807851e-03	5.305703e-01
132	CANT1	calcium activated nucleotidase 1	1218	0	0	1	3	0	0	0	3	3	1	4.407691e-01	1.000000e-03	9.379500e-01	3.846588e-03	5.319073e-01
133	GAS2L2	growth arrest-specific 2 like 2	2665	44	0	1	7	0	0	0	7	7	7	8.559259e-04	1	4.640000e-01	3.919491e-03	5.379132e-01
134	TRIM43	tripartite motif-containing 43	1365	53	0	0	2	0	0	0	2	2	1	3.023779e-02	1.520000e-02	1	3.991808e-03	5.437498e-01
135	MX2	myxovirus (influenza virus) resistance 2 (mouse)	2200	13	0	0	1	1	0	1	3	3	3	1.296809e-03	1	3.370000e-01	4.047367e-03	5.438205e-01
136	SBNO1	strawberry notch homolog 1 (Drosophila)	4302	37	0	1	4	1	1	0	6	5	3	1.797862e-01	6.700000e-03	5.930000e-02	4.051914e-03	5.438205e-01
137	KCNA3	potassium voltage-gated channel, shaker-related subfamily, member 3	1728	3	0	3	3	2	0	1	6	5	6	1.816921e-03	1	2.060000e-01	4.131595e-03	5.504672e-01
138	AKNAD1	AKNA domain containing 1	2568	52	0	0	4	0	0	0	4	4	4	4.916528e-04	1	8.440000e-01	4.236935e-03	5.604114e-01
139	TPCN2	two pore segment channel 2	2355	27	0	0	1	1	0	0	2	2	2	5.193273e-02	1.000000e-02	5.295333e-01	4.446987e-03	5.839630e-01
140	ARFGAP2	ADP-ribosylation factor GTPase activating protein 2	1628	62	0	0	2	0	0	0	2	2	1	5.331356e-02	1.000000e-02	7.633000e-01	4.551237e-03	5.916007e-01
141	PTPN12	protein tyrosine phosphatase, non-receptor type 12	2413	2	0	0	0	1	0	1	2	2	2	7.994360e-03	1	5.600000e-02	4.569972e-03	5.916007e-01
142	C19orf33	chromosome 19 open reading frame 33	337	18	0	0	0	0	0	2	2	2	2	5.444357e-04	1	5.980000e-01	4.636284e-03	5.926450e-01
143	CHST3	carbohydrate (chondroitin 6) sulfotransferase 3	1444	0	0	2	2	1	0	0	3	2	3	4.621407e-02	1.064000e-01	2.096000e-01	4.642975e-03	5.926450e-01
144	ZNF398	zinc finger protein 398	1949	210	0	1	4	0	0	0	4	4	4	1.870467e-03	1	2.580000e-01	4.789566e-03	6.071108e-01
145	HSD17B7	hydroxysteroid (17-beta) dehydrogenase 7	1060	42	0	0	2	0	0	0	2	2	1	4.763803e-02	1.060000e-02	8.148000e-01	4.840199e-03	6.092976e-01
146	KIAA0586	KIAA0586	4535	13	0	0	2	0	1	0	3	3	3	1.573775e-03	1	3.700000e-01	4.919552e-03	6.111054e-01
147	LAMA3	laminin, alpha 3	10475	30	0	4	3	3	2	0	8	8	8	1.339220e-03	1	3.840000e-01	4.921519e-03	6.111054e-01
148	CHRM4	cholinergic receptor, muscarinic 4	1442	141	0	0	3	0	0	0	3	3	2	5.109178e-02	3.630000e-02	2.594000e-01	5.110386e-03	6.302695e-01
149	GANC	glucosidase, alpha; neutral C	2837	17	0	2	2	1	0	0	3	2	3	6.207925e-01	2.066667e-03	3.057000e-01	5.205043e-03	6.376352e-01
150	STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	2408	148	0	1	5	1	0	0	6	6	6	2.298512e-03	1	2.460000e-01	5.288373e-03	6.435244e-01
151	PANK2	pantothenate kinase 2 (Hallervorden-Spatz syndrome)	1741	215	0	0	1	0	0	2	3	3	2	6.682088e-02	9.200000e-03	9.259000e-01	5.406563e-03	6.535497e-01
152	STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	2628	23	0	0	3	0	0	0	3	3	3	3.586854e-02	1	8.700000e-03	5.519478e-03	6.624840e-01
153	FAM120C	family with sequence similarity 120C	3373	1	0	0	1	0	0	2	3	3	2	1.465113e-01	6.400000e-03	4.510000e-01	5.595386e-03	6.624840e-01
154	MUT	methylmalonyl Coenzyme A mutase	2301	74	0	1	3	0	0	0	3	2	3	6.771862e-01	5.166667e-03	2.430000e-02	5.618996e-03	6.624840e-01
155	OLFML2B	olfactomedin-like 2B	2281	10	0	2	3	1	0	0	4	4	4	3.408579e-02	1	7.000000e-03	5.652036e-03	6.624840e-01
156	GABRR2	gamma-aminobutyric acid (GABA) receptor, rho 2	1507	225	0	0	3	0	0	0	3	3	2	2.009226e-02	5.000000e-02	3.690000e-01	5.662395e-03	6.624840e-01
157	LASP1	LIM and SH3 protein 1	810	24	0	1	1	1	0	0	2	2	2	7.645080e-03	1	8.300000e-02	5.698241e-03	6.624840e-01
158	SMAD4	SMAD family member 4	1699	77	0	0	7	0	0	0	7	5	7	6.981309e-04	1	4.340000e-01	5.771521e-03	6.631151e-01
159	CDC42BPB	CDC42 binding protein kinase beta (DMPK-like)	5280	1	0	2	2	0	2	0	4	4	4	8.845472e-02	7.900000e-03	9.181000e-01	5.776327e-03	6.631151e-01
160	ACPT	acid phosphatase, testicular	1323	594	0	0	0	0	1	2	3	3	2	3.070656e-02	1.800000e-02	7.580000e-01	5.830483e-03	6.651488e-01
