gene	Nnon	Nsil	Nflank	nnon	npat	nsite	nsil	nflank	nnei	fMLE	p	score	time	q
ICOSLG	558454	162098	82137	6	6	6	0	1	20	1.244896e+00	1.832067e-04	3.368757e+01	1.220483e+00	8.359265e-02
MLC1	759946	240138	174370	6	6	6	1	0	20	5.966640e-01	2.503593e-04	3.105835e+01	2.036414e+00	1.088759e-01
ZNF41	1803052	435696	58714	11	11	11	1	0	20	7.205977e-01	2.514509e-04	3.950311e+01	9.426030e-01	1.088759e-01
SPRR2B	167984	46436	22270	3	3	3	0	0	20	1.108320e+00	2.565154e-04	1.977376e+01	9.884250e-01	1.088759e-01
OR4D10	699510	223294	18733	9	8	8	1	0	20	1.047780e+00	2.764471e-04	3.080794e+01	1.758932e+00	1.146690e-01
DOCK11	4923162	1255742	1020442	22	20	21	5	0	20	9.403373e-01	2.971322e-04	7.207849e+01	1.172509e+00	1.205102e-01
PPEF1	1568944	399152	317688	11	11	11	2	0	20	9.070561e-01	3.294284e-04	3.917480e+01	1.218299e+00	1.307043e-01
DLX6	319016	91854	24132	5	5	5	1	0	20	1.296475e+00	3.404279e-04	2.556144e+01	1.121691e+00	1.321947e-01
OR6C76	702498	215396	25802	7	7	5	1	0	20	1.404663e+00	3.505522e-04	3.275615e+01	1.587505e+00	1.332902e-01
HLA-DRB5	426744	130392	61285	6	6	5	1	0	20	8.125219e-01	3.686668e-04	2.518055e+01	8.608120e-01	1.373171e-01
FATE1	351722	101764	84508	6	6	5	0	0	20	1.510962e+00	3.794700e-04	2.828665e+01	9.014200e-01	1.385142e-01
USP12	871488	217372	225575	7	7	5	0	0	13	6.467284e-01	4.329478e-04	3.255635e+01	9.283100e-01	1.549359e-01
OR5I1	696540	205504	24529	8	8	8	1	0	20	1.244766e+00	5.036061e-04	3.168689e+01	9.601360e-01	1.767560e-01
NFE2L3	1236024	326052	66071	9	9	9	3	0	20	1.087899e+00	5.509142e-04	3.761188e+01	9.737380e-01	1.897120e-01
ATXN7L1	345812	87938	82423	7	7	7	1	0	20	1.762585e+00	5.875245e-04	2.736334e+01	1.391523e+00	1.985724e-01
PABPC3	1442492	426822	24210	8	8	8	1	0	20	4.013548e-01	6.284351e-04	3.442445e+01	1.363419e+00	2.070121e-01
GYG2	878176	247946	144493	8	7	7	2	1	20	9.632759e-01	6.351804e-04	3.162560e+01	9.368020e-01	2.070121e-01
ABCA8	3775232	1029520	738078	16	16	14	4	0	13	5.567047e-01	6.877662e-04	5.548504e+01	1.364084e+00	2.202179e-01
FHOD3	3198150	928714	465107	16	15	14	1	0	20	7.638845e-01	7.726350e-04	5.122385e+01	1.475286e+00	2.431269e-01
MAGEB16	683522	192606	13003	6	6	5	1	0	20	9.343469e-01	8.486701e-04	2.579695e+01	1.393635e+00	2.625267e-01
SHROOM2	2306806	728114	81396	20	16	18	2	0	8	1.018173e+00	9.211365e-04	5.562477e+01	2.508353e+00	2.775863e-01
PCDH19	2465922	748874	94042	23	20	19	3	0	20	1.416491e+00	9.277718e-04	6.441169e+01	1.382277e+00	2.775863e-01
TNNI3	399188	116596	126245	5	5	5	0	0	20	4.784879e-01	1.014778e-03	2.105773e+01	1.121537e+00	2.987212e-01
OR2T27	627338	191654	24613	7	7	7	0	0	20	8.865073e-01	1.097564e-03	2.498669e+01	2.282567e+00	3.179625e-01
UBC	1419792	423864	22276	12	11	12	4	0	20	1.242116e+00	1.140323e-03	4.262059e+01	9.449900e-01	3.229033e-01
DLG1	2254646	609602	573260	14	14	14	1	0	20	1.287059e+00	1.150003e-03	4.984944e+01	1.219919e+00	3.229033e-01
TNRC6B	3583978	1040232	288392	19	19	19	2	0	20	1.131508e+00	1.263960e-03	6.198054e+01	1.268099e+00	3.495231e-01
ATXN2	2396930	691606	434556	13	12	12	6	0	20	7.981883e-01	1.312028e-03	4.450680e+01	1.090813e+00	3.550595e-01
CCNL2	1081022	324106	205367	8	8	8	0	1	20	6.006789e-01	1.322889e-03	3.200602e+01	1.794992e+00	3.550595e-01
KIF4A	2806668	739946	542859	15	15	15	4	1	20	9.529292e-01	1.393554e-03	4.926502e+01	1.381125e+00	3.686051e-01
RAD54B	2158828	573046	281228	10	10	10	2	0	14	4.808795e-01	1.415215e-03	3.547646e+01	1.298119e+00	3.689030e-01
PIWIL1	2054076	564148	405388	17	17	17	2	0	3	1.617138e+00	1.435106e-03	5.727452e+01	9.680080e-01	3.689030e-01
GOLGA8A	215414	62256	31225	4	4	4	1	0	20	6.625549e-01	1.506718e-03	1.601852e+01	9.050620e-01	3.819321e-01
GTF2IRD2	1330076	367602	62846	8	8	7	0	0	20	7.499984e-01	1.706311e-03	3.306245e+01	8.774350e-01	4.244376e-01
ARPC5L	247000	71136	63062	3	3	2	0	0	20	5.562500e-01	1.720913e-03	1.735296e+01	1.108221e+00	4.244376e-01
PGF	339896	98812	221740	5	5	5	0	0	20	7.594612e-01	1.800653e-03	1.997441e+01	1.845729e+00	4.381830e-01
MORN1	776856	231282	175659	6	6	6	2	0	20	5.821928e-01	1.843018e-03	2.376414e+01	1.230128e+00	4.388323e-01
GPRASP2	1939438	542406	24180	10	10	9	1	0	20	5.670888e-01	1.877387e-03	3.479276e+01	2.091057e+00	4.388323e-01
ARID4B	3150864	790430	475661	14	14	12	0	0	20	1.066483e+00	1.906194e-03	5.290680e+01	1.374650e+00	4.388323e-01
HNRNPUL1	1838644	513754	287153	9	9	9	1	0	20	3.151524e-01	1.908074e-03	3.318413e+01	1.082405e+00	4.388323e-01
GRK1	555460	154182	29074	7	6	7	0	0	20	1.084896e+00	1.923543e-03	2.526808e+01	9.339400e-01	4.388323e-01
TNFSF4	431762	119554	88923	3	3	3	0	1	20	6.694605e-01	1.985626e-03	1.847481e+01	1.003916e+00	4.435771e-01
DST	15525588	4006370	7208202	57	34	57	10	0	0	4.437779e-01	2.009636e-03	9.799815e+01	8.953890e-01	4.435771e-01
OR8D1	694510	212402	26769	6	5	4	2	0	13	9.839074e-01	2.051387e-03	2.617030e+01	1.986321e+00	4.435771e-01
TEAD1	1003982	265802	218593	5	5	3	0	0	20	7.772998e-01	2.053901e-03	2.823395e+01	1.488155e+00	4.435771e-01
TPRX1	409110	149224	13183	6	6	5	0	0	20	1.443314e+00	2.065863e-03	2.397198e+01	1.387699e+00	4.435771e-01
TRPM5	1521450	464654	253416	11	11	10	0	0	20	1.309548e+00	2.256842e-03	4.288406e+01	9.066610e-01	4.789492e-01
ART5	595782	187726	44449	3	3	2	1	0	20	5.336266e-01	2.323921e-03	2.058129e+01	9.510150e-01	4.834199e-01
ADCY5	2418528	702426	396283	11	11	10	2	0	20	9.517900e-01	2.330883e-03	4.822580e+01	1.243693e+00	4.834199e-01
RPS27L	207492	54340	84821	3	3	3	0	0	20	6.389351e-01	2.430751e-03	1.448622e+01	1.338842e+00	4.964885e-01
FGG	1094728	270718	182726	7	7	7	2	0	7	7.173128e-01	2.463555e-03	3.127543e+01	1.296947e+00	4.964885e-01
STAG2	3087494	766682	654040	13	13	13	1	0	20	8.921664e-01	2.475506e-03	5.114251e+01	1.294207e+00	4.964885e-01
TLR8	2419648	661972	45110	13	12	13	0	0	20	8.911952e-01	2.521130e-03	4.220621e+01	1.813743e+00	5.001429e-01
CCDC7	1122284	268718	300911	11	9	11	4	0	11	1.625917e+00	2.712175e-03	3.755912e+01	8.919490e-01	5.322570e-01
DNAJC9	506802	125458	85680	6	6	6	0	0	20	7.495443e-01	2.874897e-03	1.958079e+01	1.013253e+00	5.581888e-01
PRPF38B	1124290	299352	113339	7	7	6	0	0	20	1.049833e+00	3.080606e-03	3.229244e+01	1.301785e+00	5.918331e-01
CBY1	300370	86944	84642	3	3	3	0	0	20	6.552998e-01	3.193399e-03	1.584022e+01	9.308790e-01	6.003427e-01
HNRNPA2B1	848746	229228	222261	7	7	7	0	0	20	7.867616e-01	3.218318e-03	2.413067e+01	1.055362e+00	6.003427e-01
GIMAP8	1554154	427810	84810	11	11	10	1	0	20	1.193774e+00	3.223582e-03	3.739144e+01	1.070024e+00	6.003427e-01
CBLC	938642	283568	176483	7	7	7	1	0	20	1.033934e+00	3.348767e-03	3.032655e+01	1.099418e+00	6.173571e-01
C9orf66	320848	113530	23874	3	3	3	0	0	20	6.420570e-01	3.428749e-03	1.845734e+01	9.615940e-01	6.257810e-01
C6orf62	555268	140296	105013	3	3	3	0	0	20	5.092518e-01	3.556704e-03	1.744395e+01	9.740320e-01	6.295713e-01
FXYD5	440636	141284	184995	4	4	4	0	1	20	1.323204e+00	3.559640e-03	2.287161e+01	8.473890e-01	6.295713e-01
MAGEA8	706384	210426	22180	5	4	5	0	0	20	7.174409e-01	3.575202e-03	2.155631e+01	1.292416e+00	6.295713e-01
UBXN11	1158930	353704	258060	8	8	7	0	0	20	6.668818e-01	3.587497e-03	3.180781e+01	9.263280e-01	6.295713e-01
XBP1	503378	72268	161479	4	3	4	0	1	20	5.007140e-01	3.644825e-03	1.732678e+01	9.612460e-01	6.324870e-01
C8orf31	309256	93854	80745	4	4	4	0	0	20	8.238514e-01	3.673422e-03	1.770658e+01	2.710242e+00	6.324870e-01
RHOA	656068	190696	114297	6	6	5	0	0	20	6.847898e-01	3.893238e-03	2.179627e+01	1.403643e+00	6.511552e-01
ERBB3	3112722	908158	539842	17	16	16	2	1	20	6.805400e-01	3.928738e-03	4.439471e+01	1.037308e+00	6.511552e-01
GFPT2	1526460	432744	335027	9	9	8	3	0	20	1.038889e+00	3.943841e-03	3.480791e+01	9.110050e-01	6.511552e-01
CDK5RAP1	1388146	399152	270761	7	7	7	2	0	20	5.644863e-01	3.956973e-03	2.753474e+01	8.985570e-01	6.511552e-01
WDR44	2174618	590830	516796	13	12	13	3	0	20	1.136432e+00	4.011513e-03	4.346429e+01	1.027113e+00	6.511552e-01
TLE6	957834	271844	160011	6	6	6	1	0	20	7.293595e-01	4.035765e-03	2.571704e+01	1.453546e+00	6.511552e-01
LRRC8C	1862392	521664	43164	11	11	10	0	0	20	6.147426e-01	4.060099e-03	3.302249e+01	1.152053e+00	6.511552e-01
TRIM73	293466	85962	35712	4	4	3	1	1	20	1.070675e+00	4.067267e-03	1.746461e+01	9.175700e-01	6.511552e-01
FN3KRP	703498	197612	115655	5	5	5	0	0	20	6.962133e-01	4.201339e-03	2.310959e+01	1.156682e+00	6.667708e-01
XPO4	2654798	723228	431010	9	8	9	3	0	20	5.783404e-01	4.310811e-03	3.536574e+01	1.073959e+00	6.760558e-01
ACVR2A	1229120	324076	224934	8	8	8	1	0	10	1.201750e+00	4.333928e-03	3.289552e+01	9.654500e-01	6.760558e-01
DAP	168882	44448	50576	3	3	3	0	1	19	9.152920e-01	4.412446e-03	1.404754e+01	1.096150e+00	6.763211e-01
CNKSR2	2426636	648152	416231	12	9	12	2	0	6	4.932091e-01	4.473854e-03	3.851823e+01	9.112820e-01	6.763211e-01
GPR141	705444	199576	24564	9	6	8	4	0	20	1.201744e+00	4.509098e-03	2.528002e+01	1.071332e+00	6.763211e-01
OR14I1	702462	220324	23808	5	5	5	1	0	20	8.865073e-01	4.541166e-03	2.189151e+01	1.574601e+00	6.763211e-01
TCP11	1226144	350752	196405	6	6	3	0	0	12	6.336771e-01	4.689911e-03	3.047687e+01	1.008758e+00	6.763211e-01
E2F1	679804	210462	106390	5	5	5	1	0	11	5.423580e-01	4.700912e-03	2.421761e+01	8.824810e-01	6.763211e-01
TFAP4	731102	215378	127273	5	5	5	0	0	20	4.642195e-01	4.702119e-03	2.094531e+01	1.050350e+00	6.763211e-01
FUNDC1	315124	83968	70553	3	3	3	0	0	20	9.363224e-01	4.706719e-03	1.627895e+01	8.530630e-01	6.763211e-01
MPZL1	567112	159068	103044	3	3	3	0	1	20	5.848544e-01	4.718950e-03	1.771502e+01	8.959770e-01	6.763211e-01
CDHR4	233270	78082	98459	4	4	3	0	0	20	9.626367e-01	4.730709e-03	1.469537e+01	8.661320e-01	6.763211e-01
OR10R2	755826	235150	24619	6	6	6	0	0	20	9.238747e-01	4.743252e-03	2.311928e+01	9.718990e-01	6.763211e-01
ARHGAP29	2997664	799310	438831	16	14	16	0	0	7	6.126862e-01	4.836001e-03	4.419526e+01	9.655930e-01	6.842005e-01
LTBP4	2454214	733802	318395	10	10	10	1	0	20	4.773692e-01	4.929699e-03	4.237861e+01	1.070190e+00	6.865810e-01
OR6X1	699510	224276	27399	7	6	7	1	0	20	7.389485e-01	4.934016e-03	2.088939e+01	1.079999e+00	6.865810e-01
ZPLD1	1022592	292454	227857	7	7	7	0	0	20	1.256072e+00	4.988158e-03	2.980797e+01	9.376990e-01	6.865810e-01
SMAD4	1308136	364578	223578	7	7	7	0	0	20	9.521987e-01	5.003303e-03	3.152932e+01	1.037108e+00	6.865810e-01
CDC42EP1	739168	249024	38780	5	5	3	2	0	20	8.680712e-01	5.070750e-03	2.500468e+01	1.218479e+00	6.906438e-01
SLC27A4	1394278	436768	219336	5	5	5	1	0	20	3.586199e-01	5.244642e-03	2.417603e+01	9.055300e-01	7.090367e-01
BLK	1050250	304304	203271	6	6	6	0	0	20	8.059960e-01	5.386577e-03	2.931474e+01	9.044320e-01	7.203155e-01
C3orf52	326370	89992	83094	4	4	4	0	1	20	1.012067e+00	5.423490e-03	1.617397e+01	1.070505e+00	7.203155e-01
GIPC3	463588	136404	78979	4	4	3	0	0	8	5.956986e-01	5.464947e-03	2.657950e+01	1.004124e+00	7.203155e-01
FERD3L	377404	114608	23982	4	4	4	1	0	18	1.330289e+00	5.506900e-03	2.083900e+01	1.301298e+00	7.203155e-01
NOTCH2	5710664	1589698	737474	18	18	18	3	0	14	6.624377e-01	5.542665e-03	6.365646e+01	1.422388e+00	7.203155e-01
ZNF362	770628	232174	134155	5	5	3	0	1	20	1.047649e+00	5.564872e-03	2.568262e+01	9.574970e-01	7.203155e-01
NLGN3	1597296	487970	94577	11	11	10	2	4	20	1.042046e+00	5.668211e-03	3.612104e+01	9.219950e-01	7.267392e-01
CXCR3	572974	194618	25285	6	6	6	1	0	20	8.287012e-01	5.720018e-03	2.163973e+01	8.868920e-01	7.267392e-01
WBSCR28	590836	199582	64209	5	5	5	2	0	20	4.732507e-01	5.733957e-03	1.765741e+01	9.749400e-01	7.267392e-01
FLG	9078002	2694354	44858	51	45	51	13	0	15	1.341935e+00	5.773943e-03	1.078327e+02	9.833060e-01	7.267603e-01
S100P	225258	61256	43933	2	2	2	0	0	20	1.181024e+00	6.029240e-03	1.474767e+01	2.542828e+00	7.400760e-01
C12orf36	296400	85950	32714	5	5	5	1	0	11	9.531262e-01	6.074292e-03	1.725061e+01	9.903910e-01	7.400760e-01
ASPA	741012	196612	118690	4	4	4	0	0	20	7.488405e-01	6.098983e-03	2.137401e+01	1.634749e+00	7.400760e-01
BACH2	1942396	559202	88332	11	11	11	2	1	20	1.116516e+00	6.104302e-03	4.181221e+01	8.520050e-01	7.400760e-01
HDAC1	1108536	283556	251954	6	6	6	2	1	20	9.487083e-01	6.111282e-03	2.836874e+01	9.293260e-01	7.400760e-01
ELOVL5	714348	188714	146509	5	5	5	1	0	20	1.145651e+00	6.123033e-03	2.284724e+01	9.691680e-01	7.400760e-01
ASXL2	3229724	972180	214507	18	17	17	3	0	17	1.264328e+00	6.246795e-03	5.535025e+01	1.105389e+00	7.500675e-01
GTSE1	1642320	529652	214566	10	9	10	0	0	20	6.779126e-01	6.347308e-03	3.116000e+01	9.649870e-01	7.571550e-01
MUM1L1	1290680	336740	1928	7	7	7	0	0	20	1.112570e+00	6.504288e-03	2.955526e+01	9.210890e-01	7.659493e-01
UBR3	1790700	461522	325837	11	11	11	2	0	20	8.791239e-01	6.504967e-03	3.398593e+01	9.072040e-01	7.659493e-01
VAC14	1666900	492066	350133	8	8	8	0	1	20	1.046768e+00	6.596289e-03	3.633524e+01	8.958680e-01	7.706984e-01
CHIC2	342752	81986	102751	3	3	3	0	0	20	7.256719e-01	6.639130e-03	1.507655e+01	1.162888e+00	7.706984e-01
MEGF8	4035182	1326644	401246	19	19	18	4	0	20	1.095831e+00	6.671982e-03	6.537617e+01	1.616035e+00	7.706984e-01
DUSP16	1538328	447570	124340	7	6	7	1	0	20	9.072142e-01	6.764363e-03	3.181971e+01	9.741590e-01	7.764553e-01
PGLS	294442	99794	62936	3	3	3	0	0	20	9.655609e-01	6.856121e-03	1.597499e+01	1.463985e+00	7.820691e-01
KLF15	611728	186768	38402	8	7	8	1	0	8	1.166530e+00	6.906085e-03	2.536424e+01	9.474310e-01	7.825639e-01
H2AFZ	299364	95836	98912	4	4	3	0	0	20	1.158882e+00	6.946214e-03	1.630141e+01	1.235863e+00	7.825639e-01
FAM69C	253970	65226	21711	3	3	3	0	0	20	1.099120e+00	6.990399e-03	1.550107e+01	8.813980e-01	7.827103e-01
INPP5J	890296	242090	299464	6	6	6	0	0	20	9.132992e-01	7.357196e-03	2.386501e+01	9.773030e-01	8.187572e-01
SIGLEC15	255856	78034	86660	2	2	2	0	0	20	4.463909e-01	7.475622e-03	1.192246e+01	1.029748e+00	8.188178e-01
KIFC1	1525502	498952	224919	10	10	10	3	0	20	9.755074e-01	7.495701e-03	3.405224e+01	9.664870e-01	8.188178e-01
NEDD9	2000736	574034	281034	11	11	11	4	0	20	1.076908e+00	7.517761e-03	3.755459e+01	8.886270e-01	8.188178e-01
ZBTB7C	1143074	317130	32558	5	5	4	0	0	20	8.301042e-01	7.569283e-03	2.642248e+01	9.943460e-01	8.188178e-01
CCDC155	923606	271646	199128	10	10	9	1	0	10	1.073920e+00	7.582062e-03	3.244279e+01	1.016957e+00	8.188178e-01
CEP57	1208288	300346	220701	5	5	4	1	0	20	8.538897e-01	7.630736e-03	2.570915e+01	1.080170e+00	8.192268e-01
OTOP2	1154996	360626	106760	6	6	6	2	0	14	3.970916e-01	7.728570e-03	2.417328e+01	1.290400e+00	8.248780e-01
MED22	552358	161062	122425	4	4	4	0	0	20	7.549440e-01	7.904725e-03	1.957626e+01	1.432333e+00	8.387740e-01
FAM58A	460384	132380	77374	3	3	3	1	0	20	8.103158e-01	8.012654e-03	1.768107e+01	9.788430e-01	8.410809e-01
PAGE1	296358	80022	82240	4	4	4	1	0	20	9.651629e-01	8.031125e-03	1.516835e+01	9.022500e-01	8.410809e-01
NRIP1	2689360	736072	23297	10	9	10	0	0	18	6.189907e-01	8.129971e-03	3.804503e+01	9.998460e-01	8.410809e-01
PRKRIR	1705330	456462	75357	8	8	8	0	0	20	1.046629e+00	8.148590e-03	3.414711e+01	1.386403e+00	8.410809e-01
HIST1H2BB	286526	88920	25350	6	5	6	1	0	20	1.474839e+00	8.156886e-03	1.865269e+01	9.317360e-01	8.410809e-01
SYT16	1467988	399104	91134	7	7	7	1	0	20	7.733218e-01	8.265082e-03	2.767701e+01	1.152042e+00	8.469170e-01
TTC32	362602	90896	63116	3	3	3	0	0	20	1.062084e+00	8.306292e-03	1.615689e+01	1.227657e+00	8.469170e-01
ALDH1L2	2163744	604662	444787	10	10	10	1	0	20	8.699168e-01	8.496793e-03	3.807046e+01	9.411040e-01	8.501560e-01
PIK3IP1	308274	87938	67039	3	3	3	0	0	20	8.240458e-01	8.511896e-03	1.459602e+01	8.398900e-01	8.501560e-01
SDCBP2	552352	165014	126918	4	4	4	0	0	20	8.627147e-01	8.566776e-03	1.895848e+01	1.329741e+00	8.501560e-01
NR6A1	1021556	269712	392080	7	7	5	0	0	20	1.413510e+00	8.621587e-03	3.026157e+01	1.103901e+00	8.501560e-01
ATP13A4	2853356	799298	614383	10	10	10	1	1	20	9.816137e-01	8.661119e-03	4.196779e+01	1.282569e+00	8.501560e-01
FAM26D	304310	79040	22324	3	3	3	1	0	20	1.011166e+00	8.675613e-03	1.495803e+01	8.767240e-01	8.501560e-01
CTH	963336	272700	242543	3	3	3	0	0	20	5.169064e-01	8.697168e-03	1.986815e+01	9.373820e-01	8.501560e-01
SERPINE1	945510	275652	165822	6	6	5	4	0	20	1.408536e+00	8.757137e-03	3.111132e+01	1.103057e+00	8.501560e-01
DKC1	1201354	331956	564425	7	7	5	1	1	20	1.297821e+00	8.757291e-03	3.154297e+01	1.067592e+00	8.501560e-01
KLRC1	543418	142272	114359	5	5	5	0	0	7	4.988273e-01	8.846324e-03	2.518424e+01	1.307051e+00	8.542553e-01
MYBPC2	1835086	520508	279489	12	12	11	4	0	20	1.009071e+00	8.903730e-03	3.862668e+01	1.180103e+00	8.552736e-01
OASL	1220186	319124	124905	8	7	8	2	0	20	9.438789e-01	9.058376e-03	2.867449e+01	9.306490e-01	8.655729e-01
FAM124B	559190	164002	22240	5	5	5	0	0	20	9.150208e-01	9.289162e-03	1.923425e+01	1.012985e+00	8.808066e-01
MR1	802256	226252	125469	7	7	7	0	0	19	1.161412e+00	9.323340e-03	2.393195e+01	9.073440e-01	8.808066e-01
ZCCHC12	922786	268730	24222	5	5	5	0	0	20	7.759871e-01	9.394192e-03	2.201781e+01	8.440740e-01	8.808066e-01
CYP4F11	1240922	350734	244913	7	7	7	2	0	20	9.538983e-01	9.419761e-03	2.804441e+01	8.676380e-01	8.808066e-01
VWA3A	2025106	555172	330057	12	12	12	4	0	20	7.722255e-01	9.459103e-03	3.397785e+01	9.707080e-01	8.808066e-01
PCP2	187738	57310	41393	2	2	2	0	0	20	6.149016e-01	9.557921e-03	1.167963e+01	1.276235e+00	8.814150e-01
DLST	1007754	313196	279814	5	4	3	0	0	20	7.248760e-01	9.562225e-03	2.304216e+01	1.365903e+00	8.814150e-01
ADSS	1033460	286520	253119	3	3	3	0	0	20	2.445492e-01	9.680903e-03	1.259642e+01	8.882780e-01	8.864819e-01
CEP120	2338716	629380	401772	10	10	9	0	0	13	1.041337e+00	9.737346e-03	4.145706e+01	1.524769e+00	8.864819e-01
MFI2	1590632	471258	259860	9	9	9	2	0	16	9.348579e-01	9.762910e-03	3.339159e+01	1.013323e+00	8.864819e-01
CYP7B1	1098686	286526	101725	6	6	6	3	0	19	1.098386e+00	9.813631e-03	2.782696e+01	9.238490e-01	8.866761e-01
LINGO4	1250694	451474	17952	6	6	6	1	0	20	5.725509e-01	9.891591e-03	2.359195e+01	9.262700e-01	8.889718e-01
NEB	15417714	3734096	2083231	38	34	38	10	4	14	7.851113e-01	9.965100e-03	1.094194e+02	1.939726e+00	8.889718e-01
PPP1R1A	321046	92854	121477	5	5	5	1	0	20	1.150343e+00	1.005152e-02	1.607334e+01	8.909490e-01	8.889718e-01
FAM47B	1440342	441588	14973	11	11	11	2	0	20	1.144416e+00	1.007260e-02	3.448928e+01	8.513700e-01	8.889718e-01
